fragment,text
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:protoplanet rdfs:label ""protoplanet"" ;
    rdfs:subClassOf :astronomical_body ;
    :has_definition ""An astronomical object that forms within a protoplanetary disc when planetesimals and other solid debris aggregate and, due to gravitational forces,  fuse and initiate internal melting to produce a differentiated interior."" ;
    :has_exact_synonym ""planetary embryo"" .

:astronomical_body rdfs:label ""astronomical body"" .

","A protoplanet, also known as a planetary embryo, is a subclass of astronomical bodies. It is defined as an astronomical object that forms within a protoplanetary disc when planetesimals and other solid debris aggregate. Due to gravitational forces, these elements fuse and initiate internal melting to produce a differentiated interior."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:protoplanetary_disk rdfs:label ""protoplanetary disk"" ;
    rdfs:subClassOf [ owl:onProperty :has_part ;
            owl:someValuesFrom [ owl:intersectionOf [ rdf:first :gaseous_environmental_material ;
                            rdf:rest [ rdf:first [ owl:onProperty :has_quality ;
                                            owl:someValuesFrom :dense ] ] ] ] ],
        :astronomical_object ;
    owl:equivalentClass [ owl:onProperty :has_part ;
            owl:someValuesFrom [ owl:intersectionOf [ rdf:first :gaseous_environmental_material ;
                            rdf:rest [ rdf:first [ owl:onProperty :has_quality ;
                                            owl:someValuesFrom :dense ] ] ] ] ] ;
    :has_definition ""An astronomical object which is composed of dense gas and dust rotating around a young newly formed star, a T Tauri star, or a Herbig Ae/Be star in a disk-shaped configuration."" .

:astronomical_object rdfs:label ""astronomical object"" .

:dense rdfs:label ""dense"" .

:gaseous_environmental_material rdfs:label ""gaseous environmental material"" .

:has_part rdfs:label ""has part"" .

:has_quality rdfs:label ""has quality"" .

","A protoplanetary disk, which falls under the category of astronomical objects, possesses elements that follow the concept of 'has part' properties. This indicates that parts of the disk share characteristics with the broader concept of a 'gaseous environmental material'. Additionally, this disk features qualities that align with the description of being 'dense'. From another perspective, the protoplanetary disk is also considered a subclass of a quantifiable entity represented by 'has part'. In the same context, some components of this disk correspond with the description of 'gaseous environmental material'. As a subclass, the protoplanetary disk carries similar dense properties.  To clarify further, a protoplanetary disk is defined as an astronomical object composed of dense gas and dust. It is found rotating around a young, newly formed star, a T Tauri star, or a Herbig Ae/Be star in a disk-shaped configuration."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:proplyd rdfs:label ""proplyd"" ;
    rdfs:subClassOf [ owl:onProperty :participates_in ;
            owl:someValuesFrom :photoevaporation ],
        :protoplanetary_disk ;
    owl:equivalentClass [ owl:onProperty :participates_in ;
            owl:someValuesFrom :photoevaporation ] ;
    :has_definition ""A protoplanetary disk which is externally illuminated and undergoing photoevaporation."" ;
    :has_exact_synonym ""ionized protoplanetary disk"" .

:protoplanetary_disk rdfs:label ""protoplanetary disk"" .

:participates_in rdfs:label ""participates in"" .

:photoevaporation rdfs:label ""photoevaporation"" .

","A proplyd, or an ionized protoplanetary disk, is essentially a protoplanetary disk that is externally illuminated and undergoing a process known as photoevaporation. The term 'proplyd' shares the robust concept of participation in photoevaporation, implying that it actively partakes in this process. Both 'proplyd' and 'photoevaporation' are interconnected, orchestrating a symbiotic relationship in which the proplyd is not only a subclass of a protoplanetary disk but also encompasses this property of engaging in photoevaporation. Notably, the proplyd doesn't just participate in photoevaporation, but the disk attains specific values from the very process it is engaged in, further cementing the connection between them."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:mesoplanet rdfs:label ""mesoplanet"" ;
    rdfs:subClassOf :planet ;
    :has_definition ""A planet which is smaller than Mercury but larger than Ceres."" .

:planet rdfs:label ""planet"" .

",A mesoplanet is a subclass of a planet. The definition of a mesoplanet denotes it as a planet that is smaller than Mercury but larger than Ceres.
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:circumbinary_planet rdfs:label ""circumbinary planet"" ;
    rdfs:subClassOf :planet ;
    :has_definition ""A planet which orbits two stars."" .

:planet rdfs:label ""planet"" .

",A circumbinary planet is a subclass of a planet. It is defined as a planet which orbits two stars.
"@prefix : <https://zaitoun.dev/onto/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:volatile_astrogeological_material rdfs:label ""volatile astrogeological material"" ;
    rdfs:subClassOf [ owl:onProperty :part_of ;
            owl:someValuesFrom [ owl:unionOf [ rdf:first :atmosphere ;
                            rdf:rest [ rdf:first :planetary_crust ] ] ] ],
        :environmental_material ;
    :has_definition ""A material which is composed primarily of chemical elements and compounds with relatively low boiling points, equilibrium condensation temperatures below 1300 Kelvin, and which are part of the crust or atmosphere of a moon or planet."" ;
    :has_related_synonym ""volatile"" .

:atmosphere rdfs:label ""atmosphere"" .

:environmental_material rdfs:label ""environmental material"" .

:part_of rdfs:label ""part of"" .

:planetary_crust rdfs:label ""planetary crust"" .

","Volatile astrogeological material is a subclass of environmental material. This specific material is part of the broader category due to its inherent properties. Furthermore, the volatile astrogeological material is a union of the elements in the atmosphere and the planetary crust. This is based on some values drawn from these elements, which categorize it as part of these planetary elements. By definition, a volatile astrogeological material is primarily composed of chemical elements and compounds with relatively low boiling points. These compounds have equilibrium condensation temperatures below 1300 Kelvin, and they form part of the crust or atmosphere of a moon or planet. Furthermore, this type of environmental material is synonymously referred to as 'volatile'."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:astrogeological_gas rdfs:label ""astrogeological gas"" ;
    rdfs:subClassOf :volatile_astrogeological_material ;
    :has_definition ""An astrogeological volatile which is composed primarily of chemical compounds with boiling points around those of hydrogen and helium."" ;
    :has_related_synonym ""gas"" .

:volatile_astrogeological_material rdfs:label ""volatile astrogeological material"" .

","Astrogeological gas is a subclass of volatile astrogeological material. It is defined as an astrogeological volatile which is composed primarily of chemical compounds with boiling points around those of hydrogen and helium. Additionally, ""gas"" is a related synonym to astrogeological gas."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:refractory_astrogeological_material rdfs:label ""refractory astrogeological material"" ;
    rdfs:subClassOf :environmental_material ;
    :has_definition ""A material which is composed primarily of chemical elements and compounds which have equilibrium condensation temperatures above approximately 1300 Kelvin and which are part of the crust or atmosphere of a moon or planet."" ;
    :has_related_synonym ""refractory material"" .

:environmental_material rdfs:label ""environmental material"" .

","Refractory astrogeological material is a sub-category of environmental material. This refers to a material primarily composed of chemical elements and compounds, which have equilibrium condensation temperatures above approximately 1300 Kelvin. This substance is a part of the crust or the atmosphere of a moon or a planet. Also, refractory astrogeological material can be interchangeably referred to as a refractory material."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:atmospheric_escape rdfs:label ""atmospheric escape"" ;
    rdfs:subClassOf [ owl:onProperty :has_participant ;
            owl:someValuesFrom :gaseous_environmental_material ],
        [ owl:onProperty :has_output ;
            owl:someValuesFrom [ owl:intersectionOf [ rdf:first :gaseous_environmental_material ;
                            rdf:rest [ rdf:first [ owl:onProperty :located_in ;
                                            owl:someValuesFrom :outer_space ] ] ] ] ],
        [ owl:onProperty :has_part ;
            owl:someValuesFrom :electromagnetic_radiation ],
        [ owl:onProperty :has_input ;
            owl:someValuesFrom [ owl:intersectionOf [ rdf:first :gaseous_environmental_material ;
                            rdf:rest [ rdf:first [ owl:onProperty :part_of ;
                                            owl:someValuesFrom :planetary_atmosphere ] ] ] ] ],
        :material_transport_process ;
    owl:equivalentClass [ owl:intersectionOf [ rdf:first :material_transport_process ;
                    rdf:rest [ rdf:first [ owl:onProperty :has_input ;
                                    owl:someValuesFrom [ owl:intersectionOf [ ] ] ] ;
                            rdf:rest [ rdf:first [ owl:onProperty :has_output ;
                                            owl:someValuesFrom [ ] ] ] ] ] ] ;
    :has_definition ""A process during which gases that constitute a planetary atmosphere escape that planet's gravitational field and move away into outer space."" .

:electromagnetic_radiation rdfs:label ""electromagnetic radiation"" .

:has_part rdfs:label ""has part"" .

:has_participant rdfs:label ""has participant"" .

:located_in rdfs:label ""located in"" .

:outer_space rdfs:label ""outer space"" .

:part_of rdfs:label ""part of"" .

:planetary_atmosphere rdfs:label ""planetary atmosphere"" .

:has_input rdfs:label ""has input"" .

:has_output rdfs:label ""has output"" .

:material_transport_process rdfs:label ""material transport process"" .

:gaseous_environmental_material rdfs:label ""gaseous environmental material"" .

","Atmospheric escape is a concept akin to and intersects with the material transport process. As a subclass of the material transport process, it exhibits characteristics shared with electromagnetic radiation and gaseous environmental material. The atmospheric escape process consists of parts, inputs, and outputs. 

For instance, elements of gaseous environmental material serve as inputs to the process, specifically those that are part of the planetary atmosphere. On the output side, it is the gaseous environmental material again but this time located in outer space, hence creating a continuous cycle in the process.

Atmospheric escape is also a participant in the process in its own right. The term ""Atmospheric escape"" is defined as a process during which gases that constitute a planetary atmosphere escape that planet's gravitational field and move away into outer space."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:hydrodynamic_escape rdfs:label ""hydrodynamic escape"" ;
    rdfs:subClassOf :atmospheric_escape ;
    :has_definition ""An atmospheric escape process during which atoms that are parts of a planetary atmosphere escape into outer space through numerous collisions with lighter atoms in that atmosphere."" .

:atmospheric_escape rdfs:label ""atmospheric escape"" .

",Hydrodynamic escape is a sub class of atmospheric escape. It is defined as an atmospheric escape process during which atoms that are parts of a planetary atmosphere escape into outer space through numerous collisions with lighter atoms in that atmosphere.
