ontology,root,fragment,text,statements,llm_used
doid,http://purl.obolibrary.org/obo/DOID_728,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:nodular_episcleritis rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_symptom ;
            owl:someValuesFrom :inflammation ],
        [ a owl:Restriction ;
            owl:onProperty :has_symptom ;
            owl:someValuesFrom :pain ],
        [ a owl:Restriction ;
            owl:onProperty :has_symptom ;
            owl:someValuesFrom :photophobia ],
        [ a owl:Restriction ;
            owl:onProperty :has_symptom ;
            owl:someValuesFrom :bloodshot_eye ],
        [ a owl:Restriction ;
            owl:onProperty :has_symptom ;
            owl:someValuesFrom :cornea_symptom ],
        :scleral_disease ;
    :has_definition ""A scleral disease that is characterized by painful inflammation with surface nodule formation of the episcleral tissues that, importantly, spares the sclera itself and has_symptom pain, red eyes, photophobia, tearing, blurry vision, and appearance of eye surface irregularity. Nodular episcleritis is typically self-limited and may be caused by vascular congestion within the superficial episcleral plexus."" .

","nodular episcleritis is a type of scleral disease that causes painful inflammation with surface nodule formation in the episclera, which spares the sclera itself. It also has symptoms such as red eyes, photophobia, tearing, blurry vision, and an irregular appearance of the eye surface. Nodular episcleritis is typically self-limited and may be caused by vascular congestion within the superficial episcleral plexus.",7,True
doid,http://purl.obolibrary.org/obo/DOID_7280,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:congenital_epulis rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :disease_has_basis_in ;
            owl:someValuesFrom :abnormality_of_prenatal_development_or_birth ],
        :epulis,
        :physical_disorder ;
    :has_exact_synonym ""Congenital Epulides""@en .

","Congenital epulis is a type of oral tumor that occurs in newborns and young children. It is also known as congenital epulides, which is an exact synonym for the condition. The exact cause of congenital epulis is not yet fully understood, but it has been linked to certain genetic factors and abnormalities in fetal development or birth.
Congenital epulis can be found on the cheeks, lips, and tongue, and it usually appears as a small, red, swollen lump. If left untreated, congenital epulis can lead to more severe complications such as infection or difficulty eating and speaking. Treatment typically involves surgical removal of the affected tissue, along with any associated lymph node removal if necessary. With proper treatment, the outlook for recovery is generally good.",4,True
doid,http://purl.obolibrary.org/obo/DOID_7281,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:uterine_corpus_adenocarcinofibroma rdfs:subClassOf :uterine_body_mixed_cancer ;
    :has_definition ""A uterine body mixed cancer that derives_from epithelial cells which originate in glandular tissue and connective tissue."" .

","That's correct! Uterine corpus adenocarcinofibroma is a type of uterine body mixed cancer that arises from the epithelial cells found in glandular tissue and connective tissue. This type of cancer is also known as a ""uterus with endometriosis"" or simply ""adenofibroma."" It's important to note that this condition can sometimes be mistaken for other types of uterine cancer, so it's crucial to seek medical attention if you suspect you may have uterine cancer. If caught early, uterine corpus adenocarcinofibroma can be treated with a hysterectomy or other surgical procedures, as well as chemotherapy and radiation therapy.",2,True
doid,http://purl.obolibrary.org/obo/DOID_7284,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:skene_gland_carcinoma rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :disease_has_location ;
            owl:someValuesFrom :paraurethral_gland ],
        [ a owl:Restriction ;
            owl:onProperty :derives_from ;
            owl:someValuesFrom :epithelial_cell ],
        :carcinoma,
        :paraurethral_gland_cancer ;
    :has_exact_synonym ""carcinoma of the paraurethral gland""@en,
        ""paraurethral gland carcinoma""@en .

","Skene gland carcinoma is a type of cancer that affects the paraurethral glands, which are located near the urinary tract in males. It is also known as carcinoma of the paraurethral gland or paraurethral gland carcinoma. This type of cancer has its origin in epithelial cells and can spread to other parts of the body if left untreated. The exact synonym for Skene gland carcinoma is carcinoma of the paraurethral gland, which refers to cancerous growths in the same area. It's important to consult a healthcare professional for accurate diagnosis and appropriate treatment options.",6,True
doid,http://purl.obolibrary.org/obo/DOID_7289,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:endometrial_endometrioid_adenocarcinoma_secretory_variant rdfs:subClassOf :endometrial_adenocarcinoma ;
    :has_definition ""An endometrial adenocarcinoma that is characterized by the presence of confluent, cribriform or villoglandular voluminous glands with glycogen, subnuclear vacuoles (resembles day 17 - 22 endometrium), plus late secretory pattern in uninvolved endometrium."" ;
    :has_exact_synonym ""secretory uterine corpus endometrioid adenocarcinoma"" .

","Endometrial endometrioid adenocarcinoma secretory variant is a type of endometrial adenocarcinoma that has specific characteristics such as the presence of confluent, cribriform or villoglandular voluminous glands with glycogen and subnuclear vacuoles (resembling day 17-22 endometrium) in the affected area. Additionally, this type of cancer exhibits a late secretory pattern in uninvolved endometrium. The exact synonym for this condition is secretory uterine corpus endometrioid adenocarcinoma.",3,True
doid,http://purl.obolibrary.org/obo/DOID_7293,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:mucin_rich_endometrial_endometrioid_adenocarcinoma rdfs:subClassOf :endometrial_adenocarcinoma ;
    :has_definition ""An endometrial adenocarcinoma that is characterized by the presence of abundant mucin."" .

","Mucin-rich endometrial endometrioid adenocarcinoma is a type of endometrial adenocarcinoma that is characterized by the presence of abundant mucin. It is a subtype of endometrial carcinoma that has a higher risk of spreading to other parts of the body than typical endometrioid adenocarcinoma. This type of cancer can be difficult to diagnose, as it may not show up on routine imaging tests.",2,True
doid,http://purl.obolibrary.org/obo/DOID_7297,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:childhood_extraosseous_osteosarcoma rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :existence_starts_during ;
            owl:someValuesFrom :childhood_onset ],
        :extraosseous_osteosarcoma ;
    :has_definition ""An extraosseous osteosarcoma that arises from the soft tissue and occurs during childhood."" ;
    :has_exact_synonym ""Childhood Extraskeletal Osteosarcoma"",
        ""pediatric extraskeletal Osteosarcoma""@en .

","Childhood extraosseous osteosarcoma is a type of cancer that affects children. It starts in the soft tissue and bones during childhood. This cancer has an exact synonym of Childhood Extraskeletal Osteosarcoma, which means it affects the bones outside of the skeleton. The word ""extraskeletal"" refers to areas outside of the skeleton, such as muscles, ligaments, and tendons.",5,True
doid,http://purl.obolibrary.org/obo/DOID_730,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:urethral_benign_neoplasm rdfs:subClassOf :urethral_disease,
        :urinary_system_benign_neoplasm ;
    owl:equivalentClass [ owl:intersectionOf [ rdf:first :benign_neoplasm ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:onProperty :disease_has_location ;
                                    owl:someValuesFrom :urethra ] ;
                            rdf:rest :nil ] ] ] ;
    :has_exact_synonym ""neoplasm of urethra""@en,
        ""neoplasm. urethra""@en .

","Urethral benign neoplasm, also known as urethral stricture or hyperplasia, is a non-cancerous growth in the urethra. It can cause blockages and make it difficult to urinate. Urethral benign neoplasm is usually diagnosed through a physical examination and imaging tests such as x-rays and CT scans. Treatment options may include surgery, laser therapy, or minimally invasive procedures depending on the severity of the condition.",5,True
doid,http://purl.obolibrary.org/obo/DOID_7302,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:endodermal_sinus_pattern_testicular_yolk_sac_tumor rdfs:subClassOf :testicular_yolk_sac_tumor .

",endodermal sinus pattern testicular yolk sac tumor is a type of testicular yolk sac tumor.,1,False
doid,http://purl.obolibrary.org/obo/DOID_7305,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:astroblastoma rdfs:subClassOf :malignant_astrocytoma ;
    :has_definition ""A malignant astrocytoma that is characterized by tumor cells with characteristics suggestive of an astrocytic origin (positive for GFAP), arranged perivascularly."" .

","astroblastoma is a type of malignant astrocytoma, which is characterized by tumor cells with characteristics suggestive of an astrocytic origin (positive for GFAP), arranged perivascularly.",2,True
