ontology,root,fragment,text,statements,llm_used
doid,http://purl.obolibrary.org/obo/DOID_0110415,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:retinitis_pigmentosa_2 rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_material_basis_in ;
            owl:someValuesFrom :x_linked_inheritance ],
        :retinitis_pigmentosa,
        :x_linked_monogenic_disease ;
    :has_definition ""A retinitis pigmentosa that has_material_basis_in mutation in the RP2 gene on chromosome Xp11.3."" ;
    :has_exact_synonym ""RP2""@en .

","Retinitis pigmentosa 2 is a type of X-linked monogenic disease and also a type of retinitis pigmentosa, characterized by having a material basis in X-linked inheritance. Specifically, it is defined as a retinitis pigmentosa that has its material basis in mutations in the RP2 gene located on chromosome Xp11.3. Additionally, it is exactly synonymous with RP2.",5,True
doid,http://purl.obolibrary.org/obo/DOID_0110416,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:retinitis_pigmentosa_24 rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_material_basis_in ;
            owl:someValuesFrom :x_linked_inheritance ],
        :retinitis_pigmentosa,
        :x_linked_monogenic_disease ;
    :has_definition ""A retinitis pigmentosa that has_material_basis_in variation in the chromosome region Xq26-q27."" ;
    :has_exact_synonym ""RP24""@en .

","Retinitis Pigmentosa 24 (RP24) is a type of X-linked monogenic disease and a form of retinitis pigmentosa that is characterized by having a material basis in some X-linked inheritance. Specifically, it is defined by a variation in the chromosome region Xq26-q27.",5,True
doid,http://purl.obolibrary.org/obo/DOID_0110417,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:retinitis_pigmentosa_34 rdfs:subClassOf :retinitis_pigmentosa ;
    :has_definition ""A retinitis pigmentosa that has_material_basis_in variation in the chromosome region Xq28."" ;
    :has_exact_synonym ""RP34""@en .

",Retinitis pigmentosa 34 is a type of retinitis pigmentosa and has the exact synonym RP34. It is defined as a retinitis pigmentosa that has its material basis in variation in the chromosome region Xq28.,3,True
doid,http://purl.obolibrary.org/obo/DOID_0110418,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:retinitis_pigmentosa_y_linked rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_material_basis_in ;
            owl:someValuesFrom :y_linked_inheritance ],
        :retinitis_pigmentosa,
        :y_linked_monogenic_disease ;
    :has_definition ""A retinitis pigmentosa that has_material_basis_in variation on the Y chromosome."" .

","Retinitis pigmentosa Y-linked is a type of Y-linked monogenic disease and a specific form of retinitis pigmentosa. It is characterized by a condition that fundamentally has its material basis in some Y-linked inheritance. Additionally, it is defined as a retinitis pigmentosa that results from a variation on the Y chromosome.",4,True
doid,http://purl.obolibrary.org/obo/DOID_0110419,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:retinitis_pigmentosa_with_or_without_situs_inversus rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_material_basis_in ;
            owl:someValuesFrom :autosomal_recessive_inheritance ],
        :autosomal_recessive_disease,
        :retinitis_pigmentosa ;
    :has_definition ""A retinitis pigmentosa that has_material_basis_in mutation in the ARL2BP gene on chromosome 16q13."" .

","Retinitis pigmentosa with or without situs inversus is a type of autosomal recessive disease and a subtype of retinitis pigmentosa. It is characterized by a condition that fundamentally has a material basis in some form of autosomal recessive inheritance. Specifically, this form of retinitis pigmentosa is defined by having a material basis in mutations in the ARL2BP gene located on chromosome 16q13.",4,True
doid,http://purl.obolibrary.org/obo/DOID_0110420,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dominant_pericentral_pigmentary_retinopathy rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_material_basis_in ;
            owl:someValuesFrom :autosomal_dominant_inheritance ],
        :autosomal_dominant_disease,
        :retinitis_pigmentosa ;
    :has_definition ""A retinitis pigmentosa that is characterized pigmentary retinal degeneration with onset in the teens leading to blindness in the sixth ans seventh decades of life."" .

","Dominant pericentral pigmentary retinopathy is a type of autosomal dominant disease and a variant of retinitis pigmentosa, which is fundamentally associated with some form of autosomal dominant inheritance. It is defined as a retinitis pigmentosa characterized by pigmentary retinal degeneration that begins in the teens and progresses to blindness in the sixth and seventh decades of life.",4,True
doid,http://purl.obolibrary.org/obo/DOID_0110421,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:late_adult_onset_retinitis_pigmentosa rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_material_basis_in ;
            owl:someValuesFrom :autosomal_recessive_inheritance ],
        [ a owl:Restriction ;
            owl:onProperty :existence_starts_during ;
            owl:someValuesFrom [ owl:unionOf [ rdf:first :late_onset ;
                            rdf:rest [ rdf:first :middle_age_onset ;
                                    rdf:rest :nil ] ] ] ],
        :autosomal_recessive_disease,
        :retinitis_pigmentosa ;
    :has_definition ""A retinitis pigmentosa that is characterized by onset of symptoms in the fifth or sixth decade of life."" ;
    :has_exact_synonym ""senile retinitis pigmentosa""@en .

","Late adult onset retinitis pigmentosa is a type of retinitis pigmentosa and is also known as senile retinitis pigmentosa. It is characterized by the onset of symptoms in the fifth or sixth decade of life, making it a condition that begins during a period that combines late and middle age onset. This condition is a type of autosomal recessive disease and has a material basis in some form of autosomal recessive inheritance.",6,True
doid,http://purl.obolibrary.org/obo/DOID_0110422,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:autosomal_recessive_pericentral_pigmentary_retinopathy rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_material_basis_in ;
            owl:someValuesFrom :autosomal_recessive_inheritance ],
        :autosomal_recessive_disease,
        :retinitis_pigmentosa ;
    :has_definition ""A retinitis pigmentosa that is characterized autosomal recessive inheritance of pigmentary retinal degeneration with onset in the infancy but slower rates of progression than other forms of retinopathy."" .

","Autosomal recessive pericentral pigmentary retinopathy is a type of disease that falls under the categories of autosomal recessive disease, retinitis pigmentosa, and conditions that fundamentally have a material basis in some form of autosomal recessive inheritance. It is defined as a retinitis pigmentosa characterized by the autosomal recessive inheritance of pigmentary retinal degeneration, with an onset in infancy but exhibiting slower rates of progression compared to other forms of retinopathy.",4,True
doid,http://purl.obolibrary.org/obo/DOID_0110423,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dilated_cardiomyopathy_1c rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_material_basis_in ;
            owl:someValuesFrom :autosomal_dominant_inheritance ],
        :autosomal_dominant_disease,
        :dilated_cardiomyopathy ;
    :has_definition ""A dilated cardiomyopathy that has_material_basis_in mutation in the LDB3 gene on chromosome 10q23.2."" ;
    :has_exact_synonym ""CMDC1""@en,
        ""dilated cardiomyopathy 1C with or without left ventricular noncompaction""@en .

","Dilated cardiomyopathy 1c is a type of dilated cardiomyopathy and an autosomal dominant disease, specifically a variant that at least has a material basis in some form of autosomal dominant inheritance. It is defined as a dilated cardiomyopathy characterized by a mutation in the LDB3 gene located on chromosome 10q23.2. Additionally, dilated cardiomyopathy 1c is precisely referred to by the exact synonyms CMDC1 and dilated cardiomyopathy 1C with or without left ventricular noncompaction.",6,True
doid,http://purl.obolibrary.org/obo/DOID_0110424,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dilated_cardiomyopathy_1cc rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_material_basis_in ;
            owl:someValuesFrom :autosomal_dominant_inheritance ],
        :autosomal_dominant_disease,
        :dilated_cardiomyopathy ;
    :has_definition ""A dilated cardiomyopathy that has_material_basis_in mutation in the NEXN gene on chromosome 1p31.1."" ;
    :has_exact_synonym ""CMD1CC""@en .

","Dilated cardiomyopathy 1cc is identified as a type of autosomal dominant disease and a specific form of dilated cardiomyopathy, which inherently has its material basis in autosomal dominant inheritance. It is defined as a dilated cardiomyopathy characterized by a mutation in the NEXN gene located on chromosome 1p31.1. Additionally, it is precisely referred to by its exact synonym, CMD1CC.",5,True
