ontology,root,fragment,text,statements,llm_used
envo,http://purl.obolibrary.org/obo/ENVO_00000044,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:peatland rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :composed_primarily_of ;
            owl:someValuesFrom :peat_soil ],
        :wetland_ecosystem ;
    :has_broad_synonym ""wetland""^^xsd:string ;
    :has_definition ""A wetland ecosystem which accumulates acidic peat, a deposit of dead plant material.""^^xsd:string ;
    :has_related_synonym ""Peatland""^^xsd:string,
        ""bog""^^xsd:string,
        ""mire""^^xsd:string,
        ""morass""^^xsd:string,
        ""muskeg""^^xsd:string,
        ""peat bog""^^xsd:string .

","Peatland is a type of wetland ecosystem and is primarily composed of peat soil. It is defined as a wetland ecosystem which accumulates acidic peat, a deposit of dead plant material. Peatland is broadly synonymous with wetland and has related synonyms such as Peatland, bog, mire, morass, muskeg, and peat bog.",10,True
envo,http://purl.obolibrary.org/obo/ENVO_00000045,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:estuary rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :partially_overlaps ;
            owl:someValuesFrom :coastal_wetland_ecosystem ],
        [ a owl:Restriction ;
            owl:minQualifiedCardinality ""1""^^xsd:nonNegativeInteger ;
            owl:onClass :stream_mouth ;
            owl:onProperty :partially_overlaps ],
        :water_body ;
    :has_broad_synonym ""mouth""^^xsd:string ;
    :has_definition ""A semi-enclosed coastal body of water with one or more rivers or streams flowing into it, and with a free connection to the open sea.""^^xsd:string ;
    :has_related_synonym ""inlet""^^xsd:string .

","An estuary is a type of water body and is defined as a semi-enclosed coastal body of water with one or more rivers or streams flowing into it, and with a free connection to the open sea. It is also a type of entity that at least partially overlaps some coastal wetland ecosystems and has at least one stream mouth partially overlapping. Furthermore, ""mouth"" is considered a broad synonym for estuary, and ""inlet"" is a related synonym.",6,True
envo,http://purl.obolibrary.org/obo/ENVO_00000046,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:hedge rdfs:subClassOf :anthropogenic_geographic_feature ;
    :has_definition ""A dense growth of shrubbery planted as a fence or boundary.""^^xsd:string ;
    :has_exact_synonym ""HEDGE""^^xsd:string,
        ""hedgerow""^^xsd:string ;
    :has_related_synonym ""shelter belt""^^xsd:string .

","Hedge is a type of anthropogenic geographic feature, defined as a dense growth of shrubbery planted as a fence or boundary. It is exactly synonymous with HEDGE and hedgerow, and has a related synonym, shelter belt.",5,True
envo,http://purl.obolibrary.org/obo/ENVO_00000048,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:navigation_canal rdfs:subClassOf :canal ;
    :has_definition ""Artificial watercourse with no flow or a controlled flow used navigation.""^^xsd:string ;
    :has_narrow_synonym ""navigation canal""^^xsd:string ;
    :has_related_synonym ""navigation channel""^^xsd:string,
        ""ship cannal""^^xsd:string .

","A navigation canal is a type of canal defined as an artificial watercourse with no flow or a controlled flow used for navigation. It is closely synonymous with ""navigation canal"" and is related to both ""navigation channel"" and ""ship canal"".",5,True
envo,http://purl.obolibrary.org/obo/ENVO_00000050,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:geyser rdfs:subClassOf :hot_spring ;
    :has_broad_synonym ""thermal feature""^^xsd:string ;
    :has_definition ""A hot spring that erupts periodically, ejecting a column of hot water and steam into the air.""^^xsd:string .

","A geyser is a type of hot spring and is defined as a hot spring that erupts periodically, ejecting a column of hot water and steam into the air. It also has a broad synonym, which is ""thermal feature.""",3,True
envo,http://purl.obolibrary.org/obo/ENVO_00000051,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:hot_spring rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :adjacent_to ;
            owl:someValuesFrom [ owl:intersectionOf [ rdf:first :water ;
                            rdf:rest [ rdf:first [ a owl:Restriction ;
                                            owl:onProperty :has_quality ;
                                            owl:someValuesFrom :increased_temperature ] ;
                                    rdf:rest :nil ] ] ] ],
        :spring ;
    owl:disjointUnionOf [ rdf:first :alkaline_hot_spring ;
            rdf:rest [ rdf:first :acidic_hot_spring ;
                    rdf:rest [ rdf:first :neutral_hot_spring ;
                            rdf:rest :nil ] ] ] ;
    :has_broad_synonym ""spring""^^xsd:string ;
    :has_definition ""A spring through which groundwater, heated by geothermal energy, flows.""@en ;
    :has_exact_synonym ""hotspring""^^xsd:string,
        ""thermal spring""^^xsd:string .

","A hot spring is a type of spring and also a type of entity that is at least adjacent to an entity which intersects with water and another entity that has an increased temperature quality. Hot springs can be categorized into three distinct types: alkaline hot springs, acidic hot springs, and neutral hot springs. The definition of a hot spring is a spring through which groundwater, heated by geothermal energy, flows. Moreover, ""spring"" is a broad synonym for hot spring, while ""hotspring"" and ""thermal spring"" are its exact synonyms.",7,True
envo,http://purl.obolibrary.org/obo/ENVO_00000052,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:volcanic_crater_lake rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :located_in ;
            owl:someValuesFrom :volcanic_crater ],
        :crater_lake ;
    owl:equivalentClass [ owl:intersectionOf [ rdf:first :crater_lake ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:onProperty :located_in ;
                                    owl:someValuesFrom :volcanic_crater ] ;
                            rdf:rest :nil ] ] ] ;
    :has_definition ""A lake contained within a volcanic crater.""^^xsd:string .

","A volcanic crater lake is defined as a lake contained within a volcanic crater, which is the same as the intersection of a crater lake and an entity that is at least located in some volcanic crater. Furthermore, a volcanic crater lake is categorized as a type of crater lake and also as a type of entity that is at least located in some volcanic crater.",4,True
envo,http://purl.obolibrary.org/obo/ENVO_00000053,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:freshwater_marsh rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :overlaps ;
            owl:someValuesFrom :water_body ],
        [ a owl:Restriction ;
            owl:onProperty :composed_primarily_of ;
            owl:someValuesFrom :fresh_water ],
        :marsh ;
    owl:equivalentClass [ owl:intersectionOf [ rdf:first :marsh ;
                    rdf:rest [ rdf:first [ owl:intersectionOf [ rdf:first [ a owl:Restriction ;
                                                    owl:onProperty :overlaps ;
                                                    owl:someValuesFrom :water_body ] ;
                                            rdf:rest [ rdf:first [ a owl:Restriction ;
                                                            owl:onProperty :composed_primarily_of ;
                                                            owl:someValuesFrom :fresh_water ] ;
                                                    rdf:rest :nil ] ] ] ;
                            rdf:rest :nil ] ] ] ;
    :has_definition ""A marsh in which soils are saturated with water that contains low concentrations of salts.""^^xsd:string .

","A freshwater marsh is equivalent to an entity that intersects both a marsh and an entity that overlaps with a water body and is primarily composed of fresh water. It is classified as a type of marsh, overlaps with water bodies, and is primarily composed of fresh water. Moreover, a freshwater marsh is defined as a marsh where soils are saturated with water containing low concentrations of salts.",5,True
envo,http://purl.obolibrary.org/obo/ENVO_00000054,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:saline_marsh rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :composed_primarily_of ;
            owl:someValuesFrom :saline_water ],
        [ a owl:Restriction ;
            owl:onProperty :has_part ;
            owl:someValuesFrom :water_body ],
        :marsh ;
    owl:equivalentClass [ owl:intersectionOf [ rdf:first :marsh ;
                    rdf:rest [ rdf:first [ owl:intersectionOf [ rdf:first [ a owl:Restriction ;
                                                    owl:onProperty :has_part ;
                                                    owl:someValuesFrom :water_body ] ;
                                            rdf:rest [ rdf:first [ a owl:Restriction ;
                                                            owl:onProperty :composed_primarily_of ;
                                                            owl:someValuesFrom :saline_water ] ;
                                                    rdf:rest :nil ] ] ] ;
                            rdf:rest :nil ] ] ] ;
    :has_broad_synonym ""wetland""^^xsd:string ;
    :has_definition ""A marsh whose water contains a considerable quantity of dissolved salts.""^^xsd:string ;
    :has_exact_synonym ""salt marsh""^^xsd:string ;
    :has_narrow_synonym ""salting""^^xsd:string ;
    :has_related_synonym ""salt marsh""^^xsd:string,
        ""tidal marsh""^^xsd:string .

","A saline marsh is defined as a marsh that intersects with water bodies that are primarily composed of saline water. It is a specific type of marsh that is also categorized as a type of water body that includes at least a part of a water body and is primarily composed of saline water. The definition of a saline marsh is a marsh whose water contains a considerable quantity of dissolved salts. In terms of terminology, saline marsh is broadly synonymous with ""wetland"" and has an exact synonym ""salt marsh"". Additionally, ""salting"" is considered a narrow synonym, while ""salt marsh"" and ""tidal marsh"" are related synonyms.",10,True
envo,http://purl.obolibrary.org/obo/ENVO_00000055,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:saline_evaporation_pond rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_part ;
            owl:someValuesFrom :saline_water ],
        :pond ;
    :has_broad_synonym ""lake""^^xsd:string ;
    :has_definition ""A pond which is 1) shallow, 2) man-made, and 3) designed to produce salt from seawater through evaporation.""@en ;
    :has_exact_synonym ""salt evaporation pond""^^xsd:string ;
    :has_related_synonym ""salt pond""^^xsd:string,
        ""salt ponds""^^xsd:string,
        ""saltern""^^xsd:string .

","A saline evaporation pond is a type of pond that is characterized by at least having some part of saline water. It is defined as a shallow, man-made pond designed to produce salt from seawater through evaporation. This concept is broadly synonymous with a lake and has the exact synonym ""salt evaporation pond."" Additionally, it is relatedly referred to as a salt pond, salt ponds, or a saltern.",8,True
