ontology,root,fragment,text,statements,llm_used
envo,http://purl.obolibrary.org/obo/UBERON_0000481,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:multi_tissue_structure rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_part ;
            owl:someValuesFrom :tissue ],
        :multicellular_anatomical_structure ;
    :has_definition ""Anatomical structure that has as its parts two or more portions of tissue of at least two different types and which through specific morphogenetic processes forms a single distinct structural unit demarcated by bona-fide boundaries from other distinct structural units of different types."" ;
    :has_related_synonym ""multi-tissue structures"" .

","I'm sorry, but the information you have provided is not consistent. ""Multi tissue structure"" can refer to an anatomical structure that has as its parts two or more portions of tissue of at least two different types, or it could be a type of multicellular organismal structure. To provide accurate information, please clarify which definition you are referring to.",4,True
envo,http://purl.obolibrary.org/obo/UBERON_0000483,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:epithelium rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_part ;
            owl:someValuesFrom :basement_membrane_of_epithelium ],
        :tissue ;
    owl:equivalentClass [ owl:unionOf [ rdf:first :multilaminar_epithelium ;
                    rdf:rest [ rdf:first :unilaminar_epithelium ;
                            rdf:rest :nil ] ] ] ;
    :has_definition ""Portion of tissue, that consists of one or more layers of epithelial cells connected to each other by cell junctions and which is underlain by a basal lamina. Examples: simple squamous epithelium, glandular cuboidal epithelium, transitional epithelium, myoepithelium[CARO]."" ;
    :has_exact_synonym ""epithelial tissue"",
        ""portion of epithelium"" .

","Epithelium is a type of tissue that consists of one or more layers of epithelial cells connected to each other by cell junctions and which is underlain by a basal lamina. Examples include simple squamous epithelium, glandular cuboidal epithelium, transitional epithelium, myoepithelium, etc.",6,True
envo,http://purl.obolibrary.org/obo/UBERON_0000484,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:simple_cuboidal_epithelium rdfs:subClassOf :cuboidal_epithelium,
        :unilaminar_epithelium ;
    :has_definition ""Unilaminar epithelium that consists of a single layer of cuboidal cells."" ;
    :has_exact_synonym ""epithelium simplex cuboideum"" ;
    :has_related_synonym ""simple cuboidal epithelia"" .

",Simple cuboidal epithelium is a type of unilaminar epithelium that consists of a single layer of cuboidal cells.,5,True
envo,http://purl.obolibrary.org/obo/UBERON_0000485,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:simple_columnar_epithelium rdfs:subClassOf :columnar_epithelium,
        :unilaminar_epithelium ;
    :has_broad_synonym ""columnar epithelium"",
        ""columnar epithlium"" ;
    :has_definition ""Unilaminar epithelium, which consists of a single layer of columnar cells. Examples: ciliated columnar epithelium, gastric epithelium, microvillus columnar epithelium.[FMA]."" ;
    :has_exact_synonym ""epithelium simplex columnare"",
        ""simple columnar epithelium"" ;
    :has_related_synonym ""simple columnar epithelia"" .

","Simple columnar epithelium is a type of unilaminar epithelium. Unilaminar epithelium consists of a single layer of columnar cells. This type of epithelium can be found in various locations throughout the body, such as the lining of the stomach and small intestine, and the respiratory passages. The cells in simple columnar epithelium are tightly packed together and have a high surface area for absorption or secretion. Examples include ciliated columnar epithelium, gastric epithelium, microvillus columnar epithelium.",8,True
envo,http://purl.obolibrary.org/obo/UBERON_0000486,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:multilaminar_epithelium rdfs:subClassOf :epithelium ;
    :has_definition ""Epithelium which consists of more than one layer of epithelial cells that may or may not be in contact with a basement membrane. Examples: keratinized stratified squamous epithelium, ciliated stratified columnar epithelium.[FMA]."" ;
    :has_exact_synonym ""stratified epithelium"" ;
    :has_related_synonym ""laminated epithelium"" .

","Multilaminar epithelium is a type of epithelium that consists of multiple layers of epithelial cells, which can be in contact with or separated from a basement membrane. This type of epithelium can be found in various locations throughout the body, including the skin, respiratory passages, and gastrointestinal tract. It serves important functions such as protecting surfaces from damage, regulating the movement of molecules and ions across tissue boundaries, and providing a barrier against pathogens. Examples of multilaminar epithelium include keratinized stratified squamous epithelium, which is found in the outer layer of the skin, and ciliated stratified columnar epithelium, which can be found in the respiratory passages.",4,True
envo,http://purl.obolibrary.org/obo/UBERON_0000488,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:atypical_epithelium rdfs:subClassOf :epithelium ;
    :has_definition ""Epithelium that consists of epithelial cells not arranged in one ore more layers."" ;
    :has_exact_synonym ""heterogenous epithelium"" ;
    :has_related_synonym ""atypical epithelia"" .

","atypical epithelium is a type of epithelia that does not conform to the usual pattern of arrangement of cells in one or more layers. It can be found in various locations throughout the body and may have different functions depending on its location and composition.
<|endoftext|>",4,True
envo,http://purl.obolibrary.org/obo/UBERON_0000489,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cavitated_compound_organ rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_part ;
            owl:someValuesFrom :anatomical_cavity ],
        :compound_organ ;
    owl:equivalentClass [ owl:intersectionOf [ rdf:first :compound_organ ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:onProperty :has_part ;
                                    owl:someValuesFrom :anatomical_cavity ] ;
                            rdf:rest :nil ] ] ] ;
    :has_definition ""Compound organ that contains one or more macroscopic anatomical spaces."" ;
    :has_exact_synonym ""cavitated organ"" ;
    :has_related_synonym ""cavitated compound organs"" .

","The cavitated compound organ is the same as something that is the intersection of a compound organ and at least one anatomical cavity. In other words, it's a type of compound organ that contains one or more macroscopic anatomical spaces. Another way to say this is that it's a cavitated organ, which is essentially the same thing as a compound organ with cavities in it. Additionally, related terms include cavitated compound organs, which are simply compound organs with multiple cavities or spaces within them.",6,True
envo,http://purl.obolibrary.org/obo/UBERON_0000490,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:unilaminar_epithelium rdfs:subClassOf :epithelium ;
    :has_definition ""Epithelium which consists of a single layer of epithelial cells. Examples: endothelium, mesothelium, glandular squamous epithelium.[FMA]."" ;
    :has_exact_synonym ""simple epithelium"" ;
    :has_related_synonym ""unilaminar epithelia"" .

","unilaminar epithelium refers to an epithelial tissue that consists of a single layer of cells, as opposed to multilaminar or stratified epithelia which have multiple layers. Examples of unilaminar epithelium include the endothelium lining blood vessels, mesothelium surrounding organs, and glandular squamous epithelium in sweat glands.",4,True
envo,http://purl.obolibrary.org/obo/UBERON_0000910,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:chyme rdfs:subClassOf :bodily_fluid,
        :ingested_food ;
    :has_definition ""A semifluid mass of partly digested food expelled by the stomach into the duodenum."" ;
    :has_exact_synonym ""chymus"" .

","Chyme is a type of bodily fluid that contains partially digested food, which is expelled by the stomach into the duodenum. It is also known as chymus.",4,True
envo,http://purl.obolibrary.org/obo/UBERON_0000911,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:chyle rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_part ;
            owl:someValuesFrom :lymph ],
        :caro_0000000,
        :organism_substance ;
    :has_definition ""Chyle is a bodily fluid consisting of a milky fluid consisting of lymph and emulsified fats; formed in the small intestine during digestion of ingested fats."" .

","Chyle is a type of carbohydrate that is found in plants. It is also known as starch and is an important source of energy for many organisms, including humans. Chyle is made up of long chains of sugar molecules that are bonded together to form large, complex structures. These structures can be broken down into smaller units during digestion, allowing the body to absorb the energy stored in the carbohydrate more efficiently. In addition to providing energy, chyle also plays a role in the absorption of nutrients and the maintenance of healthy tissues.",4,True
