ontology,root,fragment,text,llm_text,model,statements,unique_concepts,unique_relationships,total_relationships,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#onProperty,http://www.w3.org/2002/07/owl#someValuesFrom,http://purl.org/sig/ont/fma/FMAID,http://purl.org/sig/ont/fma/preferred_name,http://purl.org/sig/ont/fma/synonym,http://www.w3.org/2002/07/owl#disjointWith,http://purl.org/sig/ont/fma/Talairach,http://purl.org/sig/ont/fma/non-English_equivalent,http://purl.org/sig/ont/fma/definition,http://www.w3.org/2000/01/rdf-schema#comment,http://purl.org/sig/ont/fma/EuProstate27,http://purl.org/sig/ont/fma/EuProstate16,http://purl.org/dc/elements/1.1/description
fma,http://purl.org/sig/ont/fma/fma6763,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:gray_communicating_ramus_of_left_sixth_intercostal_nerve a owl:Class ;
    rdfs:label ""Gray communicating ramus of left sixth intercostal nerve""@en ;
    ns1:FMAID 6763 ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :branch_of ;
            owl:someValuesFrom :left_sixth_intercostal_nerve ],
        :gray_communicating_ramus_of_sixth_intercostal_nerve ;
    :preferred_name ""Gray communicating ramus of left sixth intercostal nerve""^^xsd:string ;
    :synonym ""Gray communicating ramus of left sixth thoracic anterior ramus""^^xsd:string,
        ""Gray ramus communicans of left sixth intercostal nerve""^^xsd:string .

","gray communicating ramus of left sixth intercostal nerve is a type of a gray communicating ramus of sixth intercostal nerve.
gray communicating ramus of left sixth intercostal nerve is a type of at least branch of some a left sixth intercostal nerve.
gray communicating ramus of left sixth intercostal nerve preferred name a Gray communicating ramus of left sixth intercostal nerve.
gray communicating ramus of left sixth intercostal nerve synonym a Gray communicating ramus of left sixth thoracic anterior ramus.
gray communicating ramus of left sixth intercostal nerve synonym a Gray ramus communicans of left sixth intercostal nerve.","The gray communicating ramus of the left sixth intercostal nerve is a specific type of gray communicating ramus of the sixth intercostal nerve. It is also a branch of the left sixth intercostal nerve. The preferred name for this structure is the Gray communicating ramus of the left sixth intercostal nerve. It is also known by the synonyms ""Gray communicating ramus of the left sixth thoracic anterior ramus"" and ""Gray ramus communicans of the left sixth intercostal nerve.""",gpt-4o,5,6,8,11,2,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,
fma,http://purl.org/sig/ont/fma/fma39544,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:epimysium_of_fourth_lumbrical_of_left_hand a owl:Class ;
    rdfs:label ""Epimysium of fourth lumbrical of left hand""@en ;
    ns1:FMAID 39544 ;
    rdfs:subClassOf :epimysium_of_fourth_lumbrical_of_hand ;
    :preferred_name ""Epimysium of fourth lumbrical of left hand""^^xsd:string .

","epimysium of fourth lumbrical of left hand is a type of an epimysium of fourth lumbrical of hand.
epimysium of fourth lumbrical of left hand preferred name a Epimysium of fourth lumbrical of left hand.","The epimysium of the fourth lumbrical of the left hand is a specific type of epimysium found in the fourth lumbrical of any hand. The preferred name for the epimysium of the fourth lumbrical of the left hand is ""Epimysium of fourth lumbrical of left hand.""",gpt-4o,2,3,5,5,1,1.0,1.0,,,1.0,1.0,,,,,,,,,
fma,http://purl.org/sig/ont/fma/fma23613,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:distal_metaphysis_of_right_ulna a owl:Class ;
    rdfs:label ""Distal metaphysis of right ulna""@en ;
    ns1:FMAID 23613 ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :regional_part_of ;
            owl:someValuesFrom :diaphysis_of_right_ulna ],
        [ a owl:Restriction ;
            owl:onProperty :regional_part ;
            owl:someValuesFrom :bony_part_of_distal_metaphysis_of_right_ulna ],
        [ a owl:Restriction ;
            owl:onProperty :regional_part ;
            owl:someValuesFrom :periosteum_of_distal_metaphysis_of_right_ulna ],
        [ a owl:Restriction ;
            owl:onProperty :regional_part ;
            owl:someValuesFrom :bone_of_distal_metaphysis_of_right_ulna ],
        :distal_metaphysis_of_ulna ;
    owl:disjointWith :distal_metaphysis_of_left_ulna ;
    :preferred_name ""Distal metaphysis of right ulna""^^xsd:string .

","distal metaphysis of right ulna is a type of a distal metaphysis of ulna.
distal metaphysis of right ulna is a type of at least regional part of some a diaphysis of right ulna.
distal metaphysis of right ulna is a type of at least regional part some a bone of distal metaphysis of right ulna.
distal metaphysis of right ulna is a type of at least regional part some a bony part of distal metaphysis of right ulna.
distal metaphysis of right ulna is a type of at least regional part some a periosteum of distal metaphysis of right ulna.
distal metaphysis of right ulna is different from a distal metaphysis of left ulna.
distal metaphysis of right ulna preferred name a Distal metaphysis of right ulna.","The distal metaphysis of the right ulna is a specific type of distal metaphysis of the ulna. It is also a regional part of the diaphysis of the right ulna, as well as of the bone, bony part, and periosteum of the distal metaphysis of the right ulna. Notably, it differs from the distal metaphysis of the left ulna. The preferred name for this part is Distal metaphysis of right ulna.",gpt-4o,7,11,8,22,5,1.0,5.0,4.0,4.0,1.0,1.0,,1.0,,,,,,,
fma,http://purl.org/sig/ont/fma/fma284165,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:internal_pyramidal_layer_of_right_brodmann_area_40 a owl:Class ;
    rdfs:label ""Internal pyramidal layer of right Brodmann area 40""@en ;
    ns1:FMAID 284165 ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :constitutional_part_of ;
            owl:someValuesFrom :right_brodmann_area_40 ],
        :internal_pyramidal_layer_of_brodmann_area_40 ;
    owl:disjointWith :internal_pyramidal_layer_of_left_brodmann_area_40 ;
    :preferred_name ""Internal pyramidal layer of right Brodmann area 40""^^xsd:string .

","internal pyramidal layer of right brodmann area 40 is a type of an internal pyramidal layer of brodmann area 40.
internal pyramidal layer of right brodmann area 40 is a type of at least constitutional part of some a right brodmann area 40.
internal pyramidal layer of right brodmann area 40 is different from an internal pyramidal layer of left brodmann area 40.
internal pyramidal layer of right brodmann area 40 preferred name a Internal pyramidal layer of right Brodmann area 40.",The Internal pyramidal layer of the right Brodmann area 40 is a type of internal pyramidal layer found specifically in Brodmann area 40. It is a constitutional part of the right Brodmann area 40 and is distinct from the internal pyramidal layer of the left Brodmann area 40. This layer is referred to as the Internal pyramidal layer of the right Brodmann area 40.,gpt-4o,4,7,8,10,2,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,
fma,http://purl.org/sig/ont/fma/fma235230,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:compact_bone_of_parietal_bone a owl:Class ;
    rdfs:label ""Compact bone of parietal bone""@en ;
    ns1:FMAID 235230 ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :regional_part_of ;
            owl:someValuesFrom :bone_of_parietal_bone ],
        :compact_bone_of_skull_bone ;
    :preferred_name ""Compact bone of parietal bone""^^xsd:string .

","compact bone of parietal bone is a type of a compact bone of skull bone.
compact bone of parietal bone is a type of at least regional part of some a bone of parietal bone.
compact bone of parietal bone preferred name a Compact bone of parietal bone.",The compact bone of the parietal bone is a specific type of compact bone found in the skull. It is also considered a regional part of the parietal bone. The preferred name for this structure is the compact bone of the parietal bone.,gpt-4o,3,6,7,9,2,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,
fma,http://purl.org/sig/ont/fma/fma27814,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:synovial_fluid_of_c6_c7_vertebral_arch_joint a owl:Class ;
    rdfs:label ""Synovial fluid of C6-C7 vertebral arch joint""@en ;
    ns1:FMAID 27814 ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :contained_in ;
            owl:someValuesFrom :synovial_cavity_of_c6_c7_vertebral_arch_joint ],
        :synovial_fluid_of_cervical_vertebral_arch_joint ;
    :preferred_name ""Synovial fluid of C6-C7 vertebral arch joint""^^xsd:string .

","synovial fluid of c6 c7 vertebral arch joint is a type of a synovial fluid of cervical vertebral arch joint.
synovial fluid of c6 c7 vertebral arch joint is a type of at least contained in some a synovial cavity of c6 c7 vertebral arch joint.
synovial fluid of c6 c7 vertebral arch joint preferred name a Synovial fluid of C6-C7 vertebral arch joint.",The synovial fluid of the C6-C7 vertebral arch joint is a specific type of synovial fluid found in the cervical vertebral arch joints. This fluid is contained within the synovial cavity of the C6-C7 vertebral arch joint. The preferred name for this fluid is Synovial fluid of C6-C7 vertebral arch joint.,gpt-4o,3,6,7,9,2,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,
fma,http://purl.org/sig/ont/fma/fma8104,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:non_articular_part_of_tubercle_of_left_fifth_rib a owl:Class ;
    rdfs:label ""Non-articular part of tubercle of left fifth rib""@en ;
    ns1:FMAID 8104 ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :regional_part_of ;
            owl:someValuesFrom :tubercle_of_left_fifth_rib ],
        :non_articular_part_of_tubercle_of_fifth_rib ;
    :preferred_name ""Non-articular part of tubercle of left fifth rib""^^xsd:string .

","non articular part of tubercle of left fifth rib is a type of a non articular part of tubercle of fifth rib.
non articular part of tubercle of left fifth rib is a type of at least regional part of some a tubercle of left fifth rib.
non articular part of tubercle of left fifth rib preferred name a Non-articular part of tubercle of left fifth rib.",The non-articular part of the tubercle of the left fifth rib is a specific type of the non-articular part of the tubercle of the fifth rib. It is also considered at least a regional part of the tubercle of the left fifth rib. Its preferred name is the Non-articular part of the tubercle of the left fifth rib.,gpt-4o,3,6,7,9,2,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,
fma,http://purl.org/sig/ont/fma/fma55083,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:left_lateral_pharyngeal_space a owl:Class ;
    rdfs:label ""Left lateral pharyngeal space""@en ;
    ns1:FMAID 55083 ;
    rdfs:subClassOf :lateral_pharyngeal_space ;
    :preferred_name ""Left lateral pharyngeal space""^^xsd:string ;
    :synonym ""Left parapharyngeal space""^^xsd:string .

","left lateral pharyngeal space is a type of a lateral pharyngeal space.
left lateral pharyngeal space preferred name a Left lateral pharyngeal space.
left lateral pharyngeal space synonym a Left parapharyngeal space.","The left lateral pharyngeal space is a type of lateral pharyngeal space. Its preferred name is ""Left lateral pharyngeal space,"" and it is also known synonymously as the ""Left parapharyngeal space.""",gpt-4o,3,3,6,6,1,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,
fma,http://purl.org/sig/ont/fma/fma51766,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:periosteum_of_right_intermediate_cuneiform_bone a owl:Class ;
    rdfs:label ""Periosteum of right intermediate cuneiform bone""@en ;
    ns1:FMAID 51766 ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :constitutional_part_of ;
            owl:someValuesFrom :bony_part_of_right_intermediate_cuneiform_bone ],
        :periosteum_of_intermediate_cuneiform_bone ;
    owl:disjointWith :periosteum_of_left_intermediate_cuneiform_bone ;
    :preferred_name ""Periosteum of right intermediate cuneiform bone""^^xsd:string ;
    :synonym ""Right intermediate cuneiform periosteum""^^xsd:string .

","periosteum of right intermediate cuneiform bone is a type of a periosteum of intermediate cuneiform bone.
periosteum of right intermediate cuneiform bone is a type of at least constitutional part of some a bony part of right intermediate cuneiform bone.
periosteum of right intermediate cuneiform bone is different from a periosteum of left intermediate cuneiform bone.
periosteum of right intermediate cuneiform bone preferred name a Periosteum of right intermediate cuneiform bone.
periosteum of right intermediate cuneiform bone synonym a Right intermediate cuneiform periosteum.","The periosteum of the right intermediate cuneiform bone is a specific type of periosteum that belongs to the intermediate cuneiform bone. It is a constitutional part of some bony part of the right intermediate cuneiform bone. This periosteum is distinct from the periosteum of the left intermediate cuneiform bone. Its preferred name is ""Periosteum of right intermediate cuneiform bone,"" and it is also known synonymously as the ""Right intermediate cuneiform periosteum.""",gpt-4o,5,7,9,11,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
fma,http://purl.org/sig/ont/fma/fma283688,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:external_granular_layer_of_right_brodmann_area_46 a owl:Class ;
    rdfs:label ""External granular layer of right Brodmann area 46""@en ;
    ns1:FMAID 283688 ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :constitutional_part_of ;
            owl:someValuesFrom :right_brodmann_area_46 ],
        :external_granular_layer_of_brodmann_area_46 ;
    owl:disjointWith :external_granular_layer_of_left_brodmann_area_46 ;
    :preferred_name ""External granular layer of right Brodmann area 46""^^xsd:string .

","external granular layer of right brodmann area 46 is a type of an external granular layer of brodmann area 46.
external granular layer of right brodmann area 46 is a type of at least constitutional part of some a right brodmann area 46.
external granular layer of right brodmann area 46 is different from an external granular layer of left brodmann area 46.
external granular layer of right brodmann area 46 preferred name a External granular layer of right Brodmann area 46.",The external granular layer of the right Brodmann area 46 is a type of external granular layer specific to Brodmann area 46. It is at least a constitutional part of the right Brodmann area 46. This layer is distinct from the external granular layer of the left Brodmann area 46. The preferred name for it is the External granular layer of right Brodmann area 46.,gpt-4o,4,7,8,10,2,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,
fma,http://purl.org/sig/ont/fma/fma81302,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:nerve_to_left_teres_major a owl:Class ;
    rdfs:label ""Nerve to left teres major""@en ;
    ns1:FMAID 81302 ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :regional_part_of ;
            owl:someValuesFrom :peripheral_segment_of_left_inferior_subscapular_nerve ],
        [ a owl:Restriction ;
            owl:onProperty :continuous_proximally_with ;
            owl:someValuesFrom :trunk_of_left_inferior_subscapular_nerve ],
        [ a owl:Restriction ;
            owl:onProperty :branch_of ;
            owl:someValuesFrom :left_inferior_subscapular_nerve ],
        [ a owl:Restriction ;
            owl:onProperty :nerve_supply_of ;
            owl:someValuesFrom :left_teres_major ],
        :nerve_to_teres_major ;
    :preferred_name ""Nerve to left teres major""^^xsd:string .

","nerve to left teres major is a type of a nerve to teres major.
nerve to left teres major is a type of at least branch of some a left inferior subscapular nerve.
nerve to left teres major is a type of at least continuous proximally with some a trunk of left inferior subscapular nerve.
nerve to left teres major is a type of at least nerve supply of some a left teres major.
nerve to left teres major is a type of at least regional part of some a peripheral segment of left inferior subscapular nerve.
nerve to left teres major preferred name a Nerve to left teres major.","The nerve to the left teres major is a type of nerve specifically associated with the teres major muscle. It branches from the left inferior subscapular nerve and is continuous proximally with the trunk of this nerve. Additionally, it supplies the left teres major muscle and is considered a regional part of the peripheral segment of the left inferior subscapular nerve. The preferred name for this nerve is the Nerve to the Left Teres Major.",gpt-4o,6,12,7,21,5,1.0,5.0,4.0,4.0,1.0,1.0,,,,,,,,,
