ontology,root,fragment,text,llm_text,model,statements,unique_concepts,unique_relationships,total_relationships,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#onProperty,http://www.w3.org/2002/07/owl#someValuesFrom,http://purl.org/sig/ont/fma/FMAID,http://purl.org/sig/ont/fma/preferred_name,http://www.w3.org/2002/07/owl#disjointWith,http://purl.org/sig/ont/fma/synonym,http://purl.org/sig/ont/fma/non-English_equivalent,http://purl.org/sig/ont/fma/definition,http://www.w3.org/2002/07/owl#hasValue,http://purl.org/dc/elements/1.1/description
fma,http://purl.org/sig/ont/fma/fma269418,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:skin_of_left_pectoral_part_proper_of_male_chest a owl:Class ;
    rdfs:label ""Skin of left pectoral part proper of male chest""@en ;
    ns1:FMAID 269418 ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :regional_part_of ;
            owl:someValuesFrom :skin_of_left_pectoral_part_of_male_chest ],
        [ a owl:Restriction ;
            owl:onProperty :constitutional_part_of ;
            owl:someValuesFrom :integument_of_left_pectoral_part_proper_of_male_chest ],
        :skin_of_pectoral_part_proper_of_male_chest ;
    :preferred_name ""Skin of left pectoral part proper of male chest""^^xsd:string .

","skin of left pectoral part proper of male chest is a type of a skin of pectoral part proper of male chest.
skin of left pectoral part proper of male chest is a type of at least constitutional part of some an integument of left pectoral part proper of male chest.
skin of left pectoral part proper of male chest is a type of at least regional part of some a skin of left pectoral part of male chest.
skin of left pectoral part proper of male chest preferred name a Skin of left pectoral part proper of male chest.","The skin on the left side of a man's chest, which is also referred to as the skin of the left pectoral part proper of a male chest, is a type of skin that belongs to the constitutional part and regional part of the integument found on the same area of the chest.",llama3,4,8,7,13,3,1.0,3.0,2.0,2.0,1.0,1.0,,,,,,
fma,http://purl.org/sig/ont/fma/fma15549,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:muscular_tributary_of_ventral_tributary_of_right_lumbar_vein a owl:Class ;
    rdfs:label ""Muscular tributary of ventral tributary of right lumbar vein""@en ;
    ns1:FMAID 15549 ;
    rdfs:subClassOf :muscular_tributary_of_ventral_tributary_of_lumbar_vein ;
    :preferred_name ""Muscular tributary of ventral tributary of right lumbar vein""^^xsd:string .

","muscular tributary of ventral tributary of right lumbar vein is a type of a muscular tributary of ventral tributary of lumbar vein.
muscular tributary of ventral tributary of right lumbar vein preferred name a Muscular tributary of ventral tributary of right lumbar vein.","The muscular tributary of the ventral tributary of the right lumbar vein is also known as the muscular tributary of the ventral tributary of the right lumbar vein, and its preferred name is indeed the Muscular tributary of ventral tributary of right lumbar vein.",llama3,2,3,5,5,1,1.0,1.0,,,1.0,1.0,,,,,,
fma,http://purl.org/sig/ont/fma/fma57546,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:surface_of_right_inferior_nasal_concha a owl:Class ;
    rdfs:label ""Surface of right inferior nasal concha""@en ;
    ns1:FMAID 57546 ;
    rdfs:subClassOf :surface_of_inferior_nasal_concha ;
    owl:disjointWith :surface_of_left_inferior_nasal_concha ;
    :preferred_name ""Surface of right inferior nasal concha""^^xsd:string ;
    :synonym ""Right inferior nasal concha surface""^^xsd:string,
        ""Surface of right inferior nasal turbinate""^^xsd:string,
        ""Surface of right inferior turbinate""^^xsd:string .

","surface of right inferior nasal concha is a type of a surface of inferior nasal concha.
surface of right inferior nasal concha is different from a surface of left inferior nasal concha.
surface of right inferior nasal concha preferred name a Surface of right inferior nasal concha.
surface of right inferior nasal concha synonym a Right inferior nasal concha surface.
surface of right inferior nasal concha synonym a Surface of right inferior nasal turbinate.
surface of right inferior nasal concha synonym a Surface of right inferior turbinate.","The surface of the right inferior nasal concha is a specific type of surface, and it's unique to the right side, as it differs from the left inferior nasal concha. It also goes by other names such as ""Right inferior nasal concha surface"", ""Surface of right inferior nasal turbinate"", or simply ""Surface of right inferior turbinate"".",llama3,6,4,7,9,1,1.0,1.0,,,1.0,1.0,1.0,3.0,,,,
fma,http://purl.org/sig/ont/fma/fma79842,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:wall_of_left_vestibular_labyrinth a owl:Class ;
    rdfs:label ""Wall of left vestibular labyrinth""@en ;
    ns1:FMAID 79842 ;
    rdfs:subClassOf :wall_of_vestibular_labyrinth ;
    :preferred_name ""Wall of left vestibular labyrinth""^^xsd:string ;
    :synonym ""Left vestibular labyrinth wall""^^xsd:string .

","wall of left vestibular labyrinth is a type of a wall of vestibular labyrinth.
wall of left vestibular labyrinth preferred name a Wall of left vestibular labyrinth.
wall of left vestibular labyrinth synonym a Left vestibular labyrinth wall.","The preferred name for the ""wall of left vestibular labyrinth"" is indeed the ""Wall of left vestibular labyrinth"", and it also goes by another name, which is simply ""Left vestibular labyrinth wall"".",llama3,3,3,6,6,1,1.0,1.0,,,1.0,1.0,,1.0,,,,
fma,http://purl.org/sig/ont/fma/fma52256,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:posterior_vestibular_branch_of_left_vestibulocochlear_artery a owl:Class ;
    rdfs:label ""Posterior vestibular branch of left vestibulocochlear artery""@en ;
    ns1:FMAID 52256 ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :branch_of ;
            owl:someValuesFrom :left_vestibulocochlear_artery ],
        :posterior_vestibular_branch_of_vestibulocochlear_artery ;
    :preferred_name ""Posterior vestibular branch of left vestibulocochlear artery""^^xsd:string .

","posterior vestibular branch of left vestibulocochlear artery is a type of a posterior vestibular branch of vestibulocochlear artery.
posterior vestibular branch of left vestibulocochlear artery is a type of at least branch of some a left vestibulocochlear artery.
posterior vestibular branch of left vestibulocochlear artery preferred name a Posterior vestibular branch of left vestibulocochlear artery.","The posterior vestibular branch of the left vestibulocochlear artery is also known as the posterior vestibular branch of the left vestibulocochlear artery, and it's specifically a type of branch that belongs to the left vestibulocochlear artery, with no other options.",llama3,3,6,7,9,2,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,
fma,http://purl.org/sig/ont/fma/fma15936,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:transitional_epithelium_of_urinary_bladder a owl:Class ;
    rdfs:label ""Transitional epithelium of urinary bladder""@en ;
    ns1:FMAID 15936 ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :constitutional_part_of ;
            owl:someValuesFrom :mucosa_of_urinary_bladder ],
        :endo_epithelium ;
    :preferred_name ""Transitional epithelium of urinary bladder""^^xsd:string ;
    :synonym ""Bladder transitional cell epithelium""^^xsd:string,
        ""Urinary bladder transitional epithelium""^^xsd:string,
        ""Urothelium of urinary bladder""^^xsd:string .

","transitional epithelium of urinary bladder is a type of an endo epithelium.
transitional epithelium of urinary bladder is a type of at least constitutional part of some a mucosa of urinary bladder.
transitional epithelium of urinary bladder preferred name a Transitional epithelium of urinary bladder.
transitional epithelium of urinary bladder synonym a Bladder transitional cell epithelium.
transitional epithelium of urinary bladder synonym a Urinary bladder transitional epithelium.
transitional epithelium of urinary bladder synonym a Urothelium of urinary bladder.","The transitional epithelium of the urinary bladder is a type of endoepithelium, specifically a constitutional part of the mucosa of the urinary bladder. It's also known as Transitional epithelium of urinary bladder, Bladder transitional cell epithelium, Urinary bladder transitional epithelium, and Urothelium of urinary bladder.",llama3,6,6,8,12,2,1.0,2.0,1.0,1.0,1.0,1.0,,3.0,,,,
fma,http://purl.org/sig/ont/fma/fma81430,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:nerve_to_left_fifth_external_intercostal_muscle a owl:Class ;
    rdfs:label ""Nerve to left fifth external intercostal muscle""@en ;
    ns1:FMAID 81430 ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :branch_of ;
            owl:someValuesFrom :left_fifth_intercostal_nerve ],
        [ a owl:Restriction ;
            owl:onProperty :nerve_supply_of ;
            owl:someValuesFrom :left_fifth_external_intercostal_muscle ],
        :nerve_to_fifth_external_intercostal_muscle ;
    :preferred_name ""Nerve to left fifth external intercostal muscle""^^xsd:string .

","nerve to left fifth external intercostal muscle is a type of a nerve to fifth external intercostal muscle.
nerve to left fifth external intercostal muscle is a type of at least branch of some a left fifth intercostal nerve.
nerve to left fifth external intercostal muscle is a type of at least nerve supply of some a left fifth external intercostal muscle.
nerve to left fifth external intercostal muscle preferred name a Nerve to left fifth external intercostal muscle.","The nerve to the left 5th external intercostal muscle is a type of branch of the left 5th intercostal nerve and also provides nerve supply to this muscle, specifically the left 5th external intercostal muscle.",llama3,4,8,7,13,3,1.0,3.0,2.0,2.0,1.0,1.0,,,,,,
fma,http://purl.org/sig/ont/fma/fma298084,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:posterior_surface_of_surgical_neck_of_right_humerus a owl:Class ;
    rdfs:label ""Posterior surface of surgical neck of right humerus""@en ;
    ns1:FMAID 298084 ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :regional_part_of ;
            owl:someValuesFrom :surface_of_surgical_neck_of_right_humerus ],
        :posterior_surface_of_surgical_neck_of_humerus ;
    owl:disjointWith :posterior_surface_of_surgical_neck_of_left_humerus ;
    :preferred_name ""Posterior surface of surgical neck of right humerus""^^xsd:string .

","posterior surface of surgical neck of right humerus is a type of a posterior surface of surgical neck of humerus.
posterior surface of surgical neck of right humerus is a type of at least regional part of some a surface of surgical neck of right humerus.
posterior surface of surgical neck of right humerus is different from a posterior surface of surgical neck of left humerus.
posterior surface of surgical neck of right humerus preferred name a Posterior surface of surgical neck of right humerus.","The posterior surface of the surgical neck of the right humerus refers to a specific region on the back side of the upper arm bone, also known as the humerus, which is unique to the right arm and has no equivalent on the left arm. It's a distinct area that can be identified as part of the overall surface of the surgical neck of the right humerus.",llama3,4,7,8,10,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,
fma,http://purl.org/sig/ont/fma/fma15371,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:first_lumbar_vein a owl:Class ;
    rdfs:label ""First lumbar vein""@en ;
    ns1:FMAID 15371 ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :regional_part ;
            owl:someValuesFrom :trunk_of_first_lumbar_vein ],
        :lumbar_vein ;
    :preferred_name ""First lumbar vein""^^xsd:string .

","first lumbar vein is a type of a lumbar vein.
first lumbar vein is a type of at least regional part some a trunk of first lumbar vein.
first lumbar vein preferred name a First lumbar vein.","The First Lumbar Vein, also known as the First Lumbar Vein, is a type of lumbar vein and specifically refers to a regional part or segment of the trunk of the First Lumbar Vein itself.",llama3,3,6,7,9,2,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,
fma,http://purl.org/sig/ont/fma/fma14321,"@prefix ns1: <http://purl.org/sig/ont/fma/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:left_posterior_external_jugular_vein a owl:Class ;
    rdfs:label ""Left posterior external jugular vein""@en ;
    ns1:FMAID 14321 ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :tributary_of ;
            owl:someValuesFrom :left_external_jugular_vein ],
        [ a owl:Restriction ;
            owl:onProperty :tributary ;
            owl:someValuesFrom :muscular_tributary_of_left_posterior_external_jugular_vein ],
        [ a owl:Restriction ;
            owl:onProperty :tributary ;
            owl:someValuesFrom :cutaneous_tributary_of_left_posterior_external_jugular_vein ],
        [ a owl:Restriction ;
            owl:onProperty :regional_part ;
            owl:someValuesFrom :trunk_of_left_posterior_external_jugular_vein ],
        :posterior_external_jugular_vein ;
    :preferred_name ""Left posterior external jugular vein""^^xsd:string .

","left posterior external jugular vein is a type of a posterior external jugular vein.
left posterior external jugular vein is a type of at least regional part some a trunk of left posterior external jugular vein.
left posterior external jugular vein is a type of at least tributary of some a left external jugular vein.
left posterior external jugular vein is a type of at least tributary some a cutaneous tributary of left posterior external jugular vein.
left posterior external jugular vein is a type of at least tributary some a muscular tributary of left posterior external jugular vein.
left posterior external jugular vein preferred name a Left posterior external jugular vein.","The left posterior external jugular vein is a specific type of posterior external jugular vein, which is a regional part of the trunk of the same vein. It's also a tributary of the left external jugular vein and specifically, it receives cutaneous and muscular tributaries. The preferred name for this vein is indeed the Left posterior external jugular vein.",llama3,6,11,7,21,5,1.0,5.0,4.0,4.0,1.0,1.0,,,,,,
