ontology,root,fragment,text,llm_text,model,statements,unique_concepts,unique_relationships,total_relationships,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#onProperty,http://www.w3.org/2002/07/owl#someValuesFrom,http://www.w3.org/2002/07/owl#equivalentClass,http://www.w3.org/2002/07/owl#intersectionOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://purl.obolibrary.org/obo/IAO_0000115,http://purl.org/dc/terms/conformsTo,http://www.geneontology.org/formats/oboInOwl#hasDbXref,http://www.geneontology.org/formats/oboInOwl#hasExactSynonym,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOwl#inSubset,http://www.w3.org/2004/02/skos/core#exactMatch,http://purl.obolibrary.org/obo/RO_0002175,http://purl.obolibrary.org/obo/IAO_0000233,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://purl.obolibrary.org/obo/mondo#excluded_from_qc_check,http://www.geneontology.org/formats/oboInOwl#hasAlternativeId,http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2004/02/skos/core#closeMatch,http://purl.obolibrary.org/obo/mondo#excluded_subClassOf,http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym,https://w3id.org/semapv/vocab/crossSpeciesExactMatch,http://purl.obolibrary.org/obo/mondo#should_conform_to,http://purl.org/dc/terms/creator,http://purl.obolibrary.org/obo/IAO_0006012,http://purl.obolibrary.org/obo/IAO_0000111,http://purl.obolibrary.org/obo/IAO_0000116,http://purl.obolibrary.org/obo/IAO_0000117,http://purl.obolibrary.org/obo/IAO_0000119
mondo,http://purl.obolibrary.org/obo/NCBITaxon_169440,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:coelopidae a owl:Class ;
    rdfs:label ""Coelopidae"" ;
    rdfs:subClassOf :sciomyzoidea .

",coelopidae is a type of a sciomyzoidea.,Coelopidae is a type of Sciomyzoidea.,gpt-4o,1,3,3,3,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/ENVO_01001026,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:electromagnetic_radiation a owl:Class ;
    rdfs:label ""electromagnetic radiation""@en ;
    rdfs:subClassOf :radiation .

",electromagnetic radiation is a type of a radiation.,Electromagnetic radiation is a type of radiation.,gpt-4o,1,3,3,3,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://identifiers.org/hgnc/2328,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cpt1_a a owl:Class ;
    rdfs:label ""CPT1A"" ;
    rdfs:subClassOf :gene .

",cpt1 a is a type of a gene.,CPT1A is a type of gene.,gpt-4o,1,3,3,3,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/UBERON_0016512,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:lumen_of_duodenum a owl:Class ;
    rdfs:label ""lumen of duodenum"" ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :part_of ;
            owl:someValuesFrom :duodenum ],
        :anatomical_space .

","lumen of duodenum is a type of an anatomical space.
lumen of duodenum is a type of at least part of some a duodenum.",The lumen of the duodenum is an anatomical space that is part of the duodenum.,gpt-4o,2,6,5,7,2,2.0,1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/MONDO_0002039,"@prefix ns1: <http://www.geneontology.org/formats/oboInOwl#> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix skos: <http://www.w3.org/2004/02/skos/core#> .

:cognitive_disorder a owl:Class ;
    rdfs:label ""cognitive disorder"" ;
    ns1:hasDbXref ""DOID:1561"",
        ""ICD9:294.9"",
        ""MEDGEN:40371"",
        ""MESH:D019965"",
        ""NCIT:C92196"",
        ""SCTID:443265004"",
        ""UMLS:C0009241"" ;
    ns1:id ""MONDO:0002039"" ;
    ns1:inSubset :otar ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :disease_disrupts ;
            owl:someValuesFrom :cognitive_process ],
        :psychiatric_disorder ;
    owl:equivalentClass [ a owl:Class ;
            owl:intersectionOf [ rdf:first :psychiatric_disorder ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:onProperty :disease_disrupts ;
                                    owl:someValuesFrom :cognitive_process ] ;
                            rdf:rest :nil ] ] ] ;
    skos:exactMatch :40371,
        :443265004,
        :c0009241,
        :d019965,
        :doid_1561,
        :ncit_c92196 ;
    :conforms_to :specific_disease_by_disrupted_process.yaml ;
    :has_definition ""A disease affects cognitive processes."" ;
    :has_exact_synonym ""cognitive disease"",
        ""cognitive disorder"" ;
    :has_related_synonym ""organic mental disorder"" .

","cognitive disorder conforms to a specific disease by disrupted process.yaml.
cognitive disorder has definition a A disease affects cognitive processes..
cognitive disorder has exact synonym a cognitive disease.
cognitive disorder has exact synonym a cognitive disorder.
cognitive disorder has related synonym an organic mental disorder.
cognitive disorder is a type of a psychiatric disorder.
cognitive disorder is a type of at least disease disrupts some a cognitive process.
cognitive disorder is same as all of (a psychiatric disorder, and at least disease disrupts some a cognitive process).","A cognitive disorder, also known as a cognitive disease or cognitive disorder, is defined as a disease that affects cognitive processes. It is a type of psychiatric disorder and specifically conforms to a disease characterized by disrupted cognitive processes as per certain criteria. Additionally, it is related to an organic mental disorder. Essentially, a cognitive disorder is both a psychiatric disorder and a disease that disrupts some cognitive process.",gpt-4o,8,15,17,37,4,2.0,1,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/HP_0100717,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:abnormal_cementum_morphology a owl:Class ;
    rdfs:label ""Abnormal cementum morphology"" ;
    rdfs:subClassOf :abnormal_odontoid_tissue_morphology,
        :abnormality_of_dental_structure .

","abnormal cementum morphology is a type of an abnormal odontoid tissue morphology.
abnormal cementum morphology is a type of an abnormality of dental structure.",Abnormal cementum morphology is a type of abnormal odontoid tissue morphology and also an abnormality of dental structure.,gpt-4o,2,4,3,4,1,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/HP_0010598,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:abnormality_of_the_proximal_humeral_epiphysis a owl:Class ;
    rdfs:label ""Abnormality of the proximal humeral epiphysis"" ;
    rdfs:subClassOf :abnormality_of_the_humeral_epiphysis .

",abnormality of the proximal humeral epiphysis is a type of an abnormality of the humeral epiphysis.,An abnormality of the proximal humeral epiphysis is a specific type of abnormality of the humeral epiphysis.,gpt-4o,1,3,3,3,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/GO_0030148,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:sphingolipid_biosynthetic_process a owl:Class ;
    rdfs:label ""sphingolipid biosynthetic process"" ;
    rdfs:subClassOf :membrane_lipid_biosynthetic_process,
        :organonitrogen_compound_biosynthetic_process,
        :sphingolipid_metabolic_process .

","sphingolipid biosynthetic process is a type of a membrane lipid biosynthetic process.
sphingolipid biosynthetic process is a type of a sphingolipid metabolic process.
sphingolipid biosynthetic process is a type of an organonitrogen compound biosynthetic process.","The sphingolipid biosynthetic process is a type of membrane lipid biosynthetic process, a sphingolipid metabolic process, and an organonitrogen compound biosynthetic process.",gpt-4o,3,5,3,5,1,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/UBERON_0013700,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:axial_musculature a owl:Class ;
    rdfs:label ""axial musculature"" ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :part_of ;
            owl:someValuesFrom :main_body_axis ],
        [ a owl:Restriction ;
            owl:onProperty :part_of ;
            owl:someValuesFrom :system ],
        [ a owl:Restriction ;
            owl:onProperty :attached_to ;
            owl:someValuesFrom :axial_skeleton_plus_cranial_skeleton ],
        :musculature .

","axial musculature is a type of a musculature.
axial musculature is a type of at least attached to some an axial skeleton plus cranial skeleton.
axial musculature is a type of at least part of some a main body axis.
axial musculature is a type of at least part of some a system.",Axial musculature is a type of musculature that is attached to both the axial skeleton and the cranial skeleton. It is also part of the main body axis and is included within a larger system.,gpt-4o,4,9,5,15,4,4.0,1,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/ECTO_0000537,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:exposure_to_toxin a owl:Class ;
    rdfs:label ""exposure to toxin"" ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_exposure_stimulus ;
            owl:someValuesFrom :toxin ],
        :exposure_to_chemical_with_biological_effect ;
    :has_definition ""An exposure to toxin."" .

","exposure to toxin has definition a An exposure to toxin..
exposure to toxin is a type of an exposure to chemical with biological effect.
exposure to toxin is a type of at least has exposure stimulus some a toxin.",Exposure to toxin is defined as an exposure to a toxin. It is a type of exposure to a chemical that has a biological effect and must involve a stimulus from a toxin.,gpt-4o,3,6,6,8,2,2.0,1,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
