ontology,root,fragment,text,statements,llm_used
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#DeepPanBase,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:base_espessa rdfs:subClassOf :base_da_pizza ;
    owl:disjointWith :base_finae_quebradica .

",Base espessa is a type of base da pizza. Base espessa does not overlap with base finae quebradica.,2,True
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#Capricciosa,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:capricciosa rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_peperonata ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_de_azeitona ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_de_caper ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_de_mozzarella ],
        [ a owl:Restriction ;
            owl:allValuesFrom [ owl:unionOf [ rdf:first :cobertura_de_tomate ;
                            rdf:rest [ rdf:first :cobertura_de_presunto ;
                                    rdf:rest [ rdf:first :cobertura_de_mozzarella ;
                                            rdf:rest [ rdf:first :cobertura_de_anchovies ;
                                                    rdf:rest [ rdf:first :cobertura_de_azeitona ;
                                                            rdf:rest [ rdf:first :cobertura_peperonata ;
                                                                    rdf:rest [ rdf:first :cobertura_de_caper ;
                                                                            rdf:rest :nil ] ] ] ] ] ] ] ] ;
            owl:onProperty :has_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_de_anchovies ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_de_presunto ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_de_tomate ],
        :pizza_com_um_nome ;
    owl:disjointWith :americana,
        :americana_picante,
        :cajun,
        :caprina,
        :cobertura_prince_carlo,
        :cogumelo,
        :fiorentina,
        :frutos_do_mar,
        :giardiniera,
        :la_reine,
        :margherita,
        :napoletana,
        :parmense,
        :pizza_aberta,
        :pollo_ad_astra,
        :quatro_queijos,
        :rosa,
        :siciliana,
        :sloppy_giuseppe,
        :soho,
        :veneziana .

","Capricciosa is a type of pizza with a specific name. It includes toppings such as peperonata, olives, capers, mozzarella, anchovies, ham, and tomatoes. Specifically, a Capricciosa pizza combines tomato, ham, mozzarella, anchovies, olives, peperonata, and capers as its toppings. This type of pizza does not overlap with various other pizzas, including La Reine, Frutos do Mar, Fiorentina, Margherita, Sloppy Giuseppe, Veneziana, Americana Picante, Pizza Aberta, Cogumelo, Pollo ad Astra, Caprina, Cajun, Giardiniera, Americana, Cobertura Prince Carlo, Siciliana, Parmense, Rosa, Soho, Quatro Queijos, and Napoletana.",31,True
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#ChickenTopping,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cobertura_de_frango rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_spiciness ;
            owl:someValuesFrom :nao_picante ],
        :cobertura_de_carne ;
    owl:disjointWith :cobertura_de_bife_picante,
        :cobertura_de_calabreza,
        :cobertura_de_presunto .

","Cobertura de frango is a type of cobertura de carne. It is a type of something that at least has some spiciness but is not picante. Cobertura de frango does not overlap with cobertura de calabreza, cobertura de bife picante, or cobertura de presunto.",5,True
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#MeatTopping,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cobertura_de_carne rdfs:subClassOf :cobertura_da_pizza ;
    owl:disjointWith :cobertura_de_castanha,
        :cobertura_de_ervas,
        :cobertura_de_frutas,
        :cobertura_de_peixe,
        :cobertura_de_queijo,
        :cobertura_de_vegetais,
        :cobertura_em_molho .

","Cobertura de carne is a type of cobertura da pizza. It does not overlap with cobertura de queijo, cobertura de frutas, cobertura de ervas, cobertura de peixe, cobertura de castanha, cobertura em molho, or cobertura de vegetais.",8,True
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#AnchoviesTopping,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cobertura_de_anchovies rdfs:subClassOf :cobertura_de_peixe ;
    owl:disjointWith :cobertura_de_camarao,
        :cobertura_de_frutos_do_mar_mistos .

","Cobertura de anchovies is a type of cobertura de peixe. It does not overlap with cobertura de frutos do mar mistos, nor does it overlap with cobertura de camarao.",3,True
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#Cajun,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cajun rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :molho_tobasco_pepper ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_de_cebola ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_de_tomate ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_de_mozzarella ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_peperonata ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_de_camarao ],
        [ a owl:Restriction ;
            owl:allValuesFrom [ owl:unionOf [ rdf:first :cobertura_de_mozzarella ;
                            rdf:rest [ rdf:first :cobertura_de_cebola ;
                                    rdf:rest [ rdf:first :cobertura_peperonata ;
                                            rdf:rest [ rdf:first :cobertura_de_camarao ;
                                                    rdf:rest [ rdf:first :molho_tobasco_pepper ;
                                                            rdf:rest [ rdf:first :cobertura_de_tomate ;
                                                                    rdf:rest :nil ] ] ] ] ] ] ] ;
            owl:onProperty :has_topping ],
        :pizza_com_um_nome ;
    owl:disjointWith :americana,
        :americana_picante,
        :capricciosa,
        :caprina,
        :cobertura_prince_carlo,
        :cogumelo,
        :fiorentina,
        :frutos_do_mar,
        :giardiniera,
        :la_reine,
        :margherita,
        :napoletana,
        :parmense,
        :pizza_aberta,
        :pollo_ad_astra,
        :quatro_queijos,
        :rosa,
        :siciliana,
        :sloppy_giuseppe,
        :soho,
        :veneziana .

","Cajun is a type of pizza with a unique name. It is a type of pizza that exclusively has toppings such as mozzarella cheese, onion, peperonata, shrimp, tomato, and Tobasco pepper sauce. At a minimum, it includes toppings like Tobasco pepper sauce, onion, tomato, mozzarella cheese, peperonata, and shrimp. Cajun pizza does not overlap with other pizza types such as La Reine, Frutos do Mar, Fiorentina, Margherita, Veneziana, Americana Picante, Sloppy Giuseppe, Pizza Aberta, Cogumelo, Caprina, Pollo ad Astra, Giardiniera, Americana, Prince Carlo, Capricciosa, Siciliana, Parmense, Rosa, Soho, Quatro Queijos, and Napoletana.",30,True
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#Parmense,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:parmense rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom [ owl:unionOf [ rdf:first :cobertura_de_tomate ;
                            rdf:rest [ rdf:first :cobertura_de_aspargos ;
                                    rdf:rest [ rdf:first :cobertura_de_mozzarella ;
                                            rdf:rest [ rdf:first :cobertura_de_parmesao ;
                                                    rdf:rest [ rdf:first :cobertura_de_presunto ;
                                                            rdf:rest :nil ] ] ] ] ] ] ;
            owl:onProperty :has_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_de_mozzarella ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_de_tomate ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_de_parmesao ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_de_aspargos ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_de_presunto ],
        :pizza_com_um_nome ;
    owl:disjointWith :americana,
        :americana_picante,
        :cajun,
        :capricciosa,
        :caprina,
        :cobertura_prince_carlo,
        :cogumelo,
        :fiorentina,
        :frutos_do_mar,
        :giardiniera,
        :la_reine,
        :margherita,
        :napoletana,
        :pizza_aberta,
        :pollo_ad_astra,
        :quatro_queijos,
        :rosa,
        :siciliana,
        :sloppy_giuseppe,
        :soho,
        :veneziana .

","Parmense is a type of pizza with a specific name. It is characterized by toppings that include a combination of tomato, asparagus, mozzarella, parmesan, and ham. At the very least, Parmense must have toppings of mozzarella, tomato, parmesan, asparagus, and ham. Parmense does not overlap with a variety of other pizzas, including La Reine, Frutos do Mar, Fiorentina, Margherita, Americana Picante, Veneziana, Sloppy Giuseppe, Pizza Aberta, Cogumelo, Pollo ad Astra, Caprina, Cajun, Giardiniera, Americana, Cobertura Prince Carlo, Capricciosa, Siciliana, Rosa, Soho, Quatro Queijos, and Napoletana.",29,True
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#FruttiDiMare,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:frutos_do_mar rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom [ owl:unionOf [ rdf:first :cobertura_de_alho ;
                            rdf:rest [ rdf:first :cobertura_de_frutos_do_mar_mistos ;
                                    rdf:rest [ rdf:first :cobertura_de_tomate ;
                                            rdf:rest :nil ] ] ] ] ;
            owl:onProperty :has_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_de_tomate ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_de_frutos_do_mar_mistos ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :cobertura_de_alho ],
        :pizza_com_um_nome ;
    owl:disjointWith :americana,
        :americana_picante,
        :cajun,
        :capricciosa,
        :caprina,
        :cobertura_prince_carlo,
        :cogumelo,
        :fiorentina,
        :giardiniera,
        :la_reine,
        :margherita,
        :napoletana,
        :parmense,
        :pizza_aberta,
        :pollo_ad_astra,
        :quatro_queijos,
        :rosa,
        :siciliana,
        :sloppy_giuseppe,
        :soho,
        :veneziana .

","Frutos do Mar is a type of pizza with a specific name. It is characterized by having toppings that include a combination of garlic topping, mixed seafood topping, and tomato topping. Additionally, Frutos do Mar must at least have some tomato topping, some mixed seafood topping, and some garlic topping. This pizza does not overlap with other pizzas such as La Reine, Fiorentina, Margherita, Sloppy Giuseppe, Veneziana, Americana Picante, Pizza Aberta, Cogumelo, Pollo ad Astra, Caprina, Cajun, Giardiniera, Americana, Cobertura Prince Carlo, Capricciosa, Siciliana, Parmense, Rosa, Soho, Quatro Queijos, and Napoletana.",27,True
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#Spiciness,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:tempero rdfs:subClassOf :valor_da_particao ;
    owl:equivalentClass [ owl:unionOf [ rdf:first :picante ;
                    rdf:rest [ rdf:first :media ;
                            rdf:rest [ rdf:first :nao_picante ;
                                    rdf:rest :nil ] ] ] ] .

","Tempero is a type of valor da partição. It is equivalent to the union of picante, média, and não picante.",2,True
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#FruitTopping,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cobertura_de_frutas rdfs:subClassOf :cobertura_da_pizza ;
    owl:disjointWith :cobertura_de_carne,
        :cobertura_de_castanha,
        :cobertura_de_ervas,
        :cobertura_de_peixe,
        :cobertura_de_queijo,
        :cobertura_de_vegetais,
        :cobertura_em_molho .

","Cobertura de frutas is a type of cobertura da pizza. It does not overlap with cobertura de queijo, cobertura de ervas, cobertura de carne, cobertura de peixe, cobertura em molho, cobertura de castanha, or cobertura de vegetais.",8,True
