ontology,root,fragment,text,llm_text,statements,llm_used
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#DeepPanBase,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:deep_pan_base a owl:Class ;
    rdfs:subClassOf :pizza_base ;
    owl:disjointWith :thin_and_crispy_base .

","deep pan base is a type of a pizza base.
deep pan base is different from a thin and crispy base.",A deep pan base is a type of pizza base. It is different from a thin and crispy base.,2,True
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#Capricciosa,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:capricciosa a owl:Class ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :peperonata_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :olive_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :caper_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :mozzarella_topping ],
        [ a owl:Restriction ;
            owl:allValuesFrom [ a owl:Class ;
                    owl:unionOf [ rdf:first :tomato_topping ;
                            rdf:rest [ rdf:first :ham_topping ;
                                    rdf:rest [ rdf:first :mozzarella_topping ;
                                            rdf:rest [ rdf:first :anchovies_topping ;
                                                    rdf:rest [ rdf:first :olive_topping ;
                                                            rdf:rest [ rdf:first :peperonata_topping ;
                                                                    rdf:rest [ rdf:first :caper_topping ;
                                                                            rdf:rest :nil ] ] ] ] ] ] ] ] ;
            owl:onProperty :has_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :anchovies_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :ham_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :tomato_topping ],
        :named_pizza ;
    owl:disjointWith :american,
        :american_hot,
        :cajun,
        :caprina,
        :fiorentina,
        :four_seasons,
        :frutti_di_mare,
        :giardiniera,
        :la_reine,
        :margherita,
        :mushroom,
        :napoletana,
        :parmense,
        :pollo_ad_astra,
        :prince_carlo,
        :quattro_formaggi,
        :rosa,
        :siciliana,
        :sloppy_giuseppe,
        :soho,
        :unclosed_pizza,
        :veneziana .

","capricciosa is a type of a named pizza.
capricciosa is a type of at least has topping some a peperonata topping.
capricciosa is a type of at least has topping some an olive topping.
capricciosa is a type of at least has topping some a caper topping.
capricciosa is a type of at least has topping some a mozzarella topping.
capricciosa is a type of only has topping any of (a tomato topping and a ham topping and a mozzarella topping and an anchovies topping and an olive topping and a peperonata topping and a caper topping).
capricciosa is a type of at least has topping some an anchovies topping.
capricciosa is a type of at least has topping some a ham topping.
capricciosa is a type of at least has topping some a tomato topping.
capricciosa is different from a la reine.
capricciosa is different from a frutti di mare.
capricciosa is different from a fiorentina.
capricciosa is different from a margherita.
capricciosa is different from a sloppy giuseppe.
capricciosa is different from a veneziana.
capricciosa is different from an american hot.
capricciosa is different from an unclosed pizza.
capricciosa is different from a mushroom.
capricciosa is different from a pollo ad astra.
capricciosa is different from a caprina.
capricciosa is different from a cajun.
capricciosa is different from a giardiniera.
capricciosa is different from an american.
capricciosa is different from a prince carlo.
capricciosa is different from a siciliana.
capricciosa is different from a parmense.
capricciosa is different from a rosa.
capricciosa is different from a soho.
capricciosa is different from a quattro formaggi.
capricciosa is different from a four seasons.
capricciosa is different from a napoletana.","Capricciosa is a type of pizza that includes various toppings such as peperonata, olives, capers, mozzarella, anchovies, ham, and tomatoes. It is unique in that it can only have toppings like tomato, ham, mozzarella, anchovies, olives, peperonata, and capers. Capricciosa stands out from other pizzas like la reine, frutti di mare, fiorentina, margherita, sloppy giuseppe, veneziana, american hot, unclosed pizza, mushroom, pollo ad astra, caprina, cajun, giardiniera, american, prince carlo, siciliana, parmense, rosa, soho, quattro formaggi, four seasons, and napoletana.",31,True
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#ChickenTopping,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:chicken_topping a owl:Class ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_spiciness ;
            owl:someValuesFrom :mild ],
        :meat_topping ;
    owl:disjointWith :ham_topping,
        :hot_spiced_beef_topping,
        :peperoni_sausage_topping .

","chicken topping is a type of a meat topping.
chicken topping is a type of at least has spiciness some a mild.
chicken topping is different from a peperoni sausage topping.
chicken topping is different from a hot spiced beef topping.
chicken topping is different from a ham topping.","Chicken topping is a type of meat topping that has a mild level of spiciness. It is distinct from pepperoni sausage topping, hot spiced beef topping, and ham topping.",5,True
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#MeatTopping,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:meat_topping a owl:Class ;
    rdfs:subClassOf :pizza_topping ;
    owl:disjointWith :cheese_topping,
        :fish_topping,
        :fruit_topping,
        :herb_spice_topping,
        :nut_topping,
        :sauce_topping,
        :vegetable_topping .

","meat topping is a type of a pizza topping.
meat topping is different from a cheese topping.
meat topping is different from a fruit topping.
meat topping is different from a herb spice topping.
meat topping is different from a fish topping.
meat topping is different from a nut topping.
meat topping is different from a sauce topping.
meat topping is different from a vegetable topping.","A meat topping is a type of pizza topping. It stands apart from other toppings like cheese, fruit, herb spice, fish, nut, sauce, and vegetable toppings.",8,True
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#AnchoviesTopping,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:anchovies_topping a owl:Class ;
    rdfs:subClassOf :fish_topping ;
    owl:disjointWith :mixed_seafood_topping,
        :prawns_topping .

","anchovies topping is a type of a fish topping.
anchovies topping is different from a mixed seafood topping.
anchovies topping is different from a prawns topping.",Anchovies topping is a type of fish topping. It's different from a mixed seafood topping and also distinct from a prawns topping.,3,True
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#Cajun,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cajun a owl:Class ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :tobasco_pepper_sauce ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :onion_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :tomato_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :mozzarella_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :peperonata_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :prawns_topping ],
        [ a owl:Restriction ;
            owl:allValuesFrom [ a owl:Class ;
                    owl:unionOf [ rdf:first :mozzarella_topping ;
                            rdf:rest [ rdf:first :onion_topping ;
                                    rdf:rest [ rdf:first :peperonata_topping ;
                                            rdf:rest [ rdf:first :prawns_topping ;
                                                    rdf:rest [ rdf:first :tobasco_pepper_sauce ;
                                                            rdf:rest [ rdf:first :tomato_topping ;
                                                                    rdf:rest :nil ] ] ] ] ] ] ] ;
            owl:onProperty :has_topping ],
        :named_pizza ;
    owl:disjointWith :american,
        :american_hot,
        :capricciosa,
        :caprina,
        :fiorentina,
        :four_seasons,
        :frutti_di_mare,
        :giardiniera,
        :la_reine,
        :margherita,
        :mushroom,
        :napoletana,
        :parmense,
        :pollo_ad_astra,
        :prince_carlo,
        :quattro_formaggi,
        :rosa,
        :siciliana,
        :sloppy_giuseppe,
        :soho,
        :unclosed_pizza,
        :veneziana .

","cajun is a type of a named pizza.
cajun is a type of only has topping any of (a mozzarella topping and an onion topping and a peperonata topping and a prawns topping and a tobasco pepper sauce and a tomato topping).
cajun is a type of at least has topping some a tobasco pepper sauce.
cajun is a type of at least has topping some an onion topping.
cajun is a type of at least has topping some a tomato topping.
cajun is a type of at least has topping some a mozzarella topping.
cajun is a type of at least has topping some a peperonata topping.
cajun is a type of at least has topping some a prawns topping.
cajun is different from a la reine.
cajun is different from a frutti di mare.
cajun is different from a fiorentina.
cajun is different from a margherita.
cajun is different from a veneziana.
cajun is different from an american hot.
cajun is different from a sloppy giuseppe.
cajun is different from an unclosed pizza.
cajun is different from a mushroom.
cajun is different from a caprina.
cajun is different from a pollo ad astra.
cajun is different from a giardiniera.
cajun is different from an american.
cajun is different from a prince carlo.
cajun is different from a capricciosa.
cajun is different from a siciliana.
cajun is different from a parmense.
cajun is different from a rosa.
cajun is different from a soho.
cajun is different from a quattro formaggi.
cajun is different from a four seasons.
cajun is different from a napoletana.","The Cajun pizza is a unique type of pizza that includes a variety of toppings such as mozzarella, onion, peperonata, prawns, Tobasco pepper sauce, and tomato. It must have at least some of each of these toppings. Unlike other pizzas, the Cajun pizza stands out and is distinctly different from pizzas like La Reine, Frutti di Mare, Fiorentina, Margherita, Veneziana, American Hot, Sloppy Giuseppe, and many others including Mushroom, Caprina, Pollo ad Astra, Giardiniera, American, Prince Carlo, Capricciosa, Siciliana, Parmense, Rosa, Soho, Quattro Formaggi, Four Seasons, and Napoletana.",30,True
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#Parmense,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:parmense a owl:Class ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom [ a owl:Class ;
                    owl:unionOf [ rdf:first :tomato_topping ;
                            rdf:rest [ rdf:first :asparagus_topping ;
                                    rdf:rest [ rdf:first :mozzarella_topping ;
                                            rdf:rest [ rdf:first :parmesan_topping ;
                                                    rdf:rest [ rdf:first :ham_topping ;
                                                            rdf:rest :nil ] ] ] ] ] ] ;
            owl:onProperty :has_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :mozzarella_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :tomato_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :parmesan_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :asparagus_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :ham_topping ],
        :named_pizza ;
    owl:disjointWith :american,
        :american_hot,
        :cajun,
        :capricciosa,
        :caprina,
        :fiorentina,
        :four_seasons,
        :frutti_di_mare,
        :giardiniera,
        :la_reine,
        :margherita,
        :mushroom,
        :napoletana,
        :pollo_ad_astra,
        :prince_carlo,
        :quattro_formaggi,
        :rosa,
        :siciliana,
        :sloppy_giuseppe,
        :soho,
        :unclosed_pizza,
        :veneziana .

","parmense is a type of a named pizza.
parmense is a type of only has topping any of (a tomato topping and an asparagus topping and a mozzarella topping and a parmesan topping and a ham topping).
parmense is a type of at least has topping some a mozzarella topping.
parmense is a type of at least has topping some a tomato topping.
parmense is a type of at least has topping some a parmesan topping.
parmense is a type of at least has topping some an asparagus topping.
parmense is a type of at least has topping some a ham topping.
parmense is different from a la reine.
parmense is different from a frutti di mare.
parmense is different from a fiorentina.
parmense is different from a margherita.
parmense is different from an american hot.
parmense is different from a veneziana.
parmense is different from a sloppy giuseppe.
parmense is different from an unclosed pizza.
parmense is different from a mushroom.
parmense is different from a pollo ad astra.
parmense is different from a caprina.
parmense is different from a cajun.
parmense is different from a giardiniera.
parmense is different from an american.
parmense is different from a prince carlo.
parmense is different from a capricciosa.
parmense is different from a siciliana.
parmense is different from a rosa.
parmense is different from a soho.
parmense is different from a quattro formaggi.
parmense is different from a four seasons.
parmense is different from a napoletana.","Parmense is a unique type of pizza. It includes toppings such as tomato, asparagus, mozzarella, parmesan, and ham. Unlike other pizzas like La Reine, Frutti di Mare, Fiorentina, Margherita, American Hot, Veneziana, Sloppy Giuseppe, Mushroom, Pollo ad Astra, Caprina, Cajun, Giardiniera, American, Prince Carlo, Capricciosa, Siciliana, Rosa, Soho, Quattro Formaggi, Four Seasons, and Napoletana, Parmense stands out with its distinct combination of toppings.",29,True
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#FruttiDiMare,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:frutti_di_mare a owl:Class ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom [ a owl:Class ;
                    owl:unionOf [ rdf:first :garlic_topping ;
                            rdf:rest [ rdf:first :mixed_seafood_topping ;
                                    rdf:rest [ rdf:first :tomato_topping ;
                                            rdf:rest :nil ] ] ] ] ;
            owl:onProperty :has_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :tomato_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :mixed_seafood_topping ],
        [ a owl:Restriction ;
            owl:onProperty :has_topping ;
            owl:someValuesFrom :garlic_topping ],
        :named_pizza ;
    owl:disjointWith :american,
        :american_hot,
        :cajun,
        :capricciosa,
        :caprina,
        :fiorentina,
        :four_seasons,
        :giardiniera,
        :la_reine,
        :margherita,
        :mushroom,
        :napoletana,
        :parmense,
        :pollo_ad_astra,
        :prince_carlo,
        :quattro_formaggi,
        :rosa,
        :siciliana,
        :sloppy_giuseppe,
        :soho,
        :unclosed_pizza,
        :veneziana .

","frutti di mare is a type of a named pizza.
frutti di mare is a type of only has topping any of (a garlic topping and a mixed seafood topping and a tomato topping).
frutti di mare is a type of at least has topping some a tomato topping.
frutti di mare is a type of at least has topping some a mixed seafood topping.
frutti di mare is a type of at least has topping some a garlic topping.
frutti di mare is different from a la reine.
frutti di mare is different from a fiorentina.
frutti di mare is different from a margherita.
frutti di mare is different from a sloppy giuseppe.
frutti di mare is different from a veneziana.
frutti di mare is different from an american hot.
frutti di mare is different from an unclosed pizza.
frutti di mare is different from a mushroom.
frutti di mare is different from a pollo ad astra.
frutti di mare is different from a caprina.
frutti di mare is different from a cajun.
frutti di mare is different from a giardiniera.
frutti di mare is different from an american.
frutti di mare is different from a prince carlo.
frutti di mare is different from a capricciosa.
frutti di mare is different from a siciliana.
frutti di mare is different from a parmense.
frutti di mare is different from a rosa.
frutti di mare is different from a soho.
frutti di mare is different from a quattro formaggi.
frutti di mare is different from a four seasons.
frutti di mare is different from a napoletana.","Frutti di Mare is a type of pizza that specifically includes toppings like garlic, mixed seafood, and tomato. It must have at least some of each of these toppings. Unlike other pizzas, Frutti di Mare is distinct and different from a wide variety of other pizzas such as La Reine, Fiorentina, Margherita, Sloppy Giuseppe, Veneziana, American Hot, Mushroom, Pollo ad Astra, Caprina, Cajun, Giardiniera, American, Prince Carlo, Capricciosa, Siciliana, Parmense, Rosa, Soho, Quattro Formaggi, Four Seasons, and Napoletana.",27,True
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#Spiciness,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:spiciness a owl:Class ;
    rdfs:comment ""A ValuePartition that describes only values from Hot, Medium or Mild. NB Subclasses can themselves be divided up into further partitions.""@en ;
    rdfs:subClassOf :value_partition ;
    owl:equivalentClass [ a owl:Class ;
            owl:unionOf [ rdf:first :hot ;
                    rdf:rest [ rdf:first :medium ;
                            rdf:rest [ rdf:first :mild ;
                                    rdf:rest :nil ] ] ] ] .

","spiciness is a type of a value partition.
spiciness is same as any of (a hot and a medium and a mild).","Spiciness is a type of value partition. It can be categorized as hot, medium, or mild.",2,True
pizza,http://www.co-ode.org/ontologies/pizza/2005/10/18/pizza.owl#FruitTopping,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:fruit_topping a owl:Class ;
    rdfs:subClassOf :pizza_topping ;
    owl:disjointWith :cheese_topping,
        :fish_topping,
        :herb_spice_topping,
        :meat_topping,
        :nut_topping,
        :sauce_topping,
        :vegetable_topping .

","fruit topping is a type of a pizza topping.
fruit topping is different from a cheese topping.
fruit topping is different from a herb spice topping.
fruit topping is different from a meat topping.
fruit topping is different from a fish topping.
fruit topping is different from a sauce topping.
fruit topping is different from a nut topping.
fruit topping is different from a vegetable topping.","A fruit topping is a type of pizza topping. Unlike cheese, herb spice, meat, fish, sauce, nut, and vegetable toppings, a fruit topping stands out with its unique characteristics.",8,True
