ontology,root,fragment,text,statements,llm_used
sitbac,http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl#AbstractSituation_Atypical,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:abstract_situation_atypical rdfs:subClassOf :situation .

",abstract situation atypical is a type of situation.,1,False
sitbac,http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl#AbstractSituation_RoleInShift,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:abstract_situation_role_in_shift rdfs:subClassOf :situation ;
    owl:equivalentClass [ a owl:Restriction ;
            owl:onProperty :has_data_requestor ;
            owl:someValuesFrom [ owl:intersectionOf [ rdf:first [ a owl:Restriction ;
                                    owl:onProperty :has_role ;
                                    owl:someValuesFrom :role ] ;
                            rdf:rest [ rdf:first [ a owl:Restriction ;
                                            owl:hasValue :yes ;
                                            owl:onProperty :is_in_shift ] ;
                                    rdf:rest :nil ] ] ] ] .

","abstract situation role in shift is same as something that at least has data requestor some something that intersection of something that  something that at least has role some role and  something that must is in shift yes.
abstract situation role in shift is a type of situation.",2,False
sitbac,http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl#AbstractSituation_RoleInShift_Inpatient_DRWorkingDept_EQ_PatientHospitalizedDept,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .

:abstract_situation_role_in_shift_inpatient_dr_working_dept_eq_patient_hospitalized_dept owl:equivalentClass [ owl:intersectionOf [ rdf:first :abstract_situation_role_in_shift ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:onProperty :has_patient ;
                                    owl:someValuesFrom [ a owl:Restriction ;
                                            owl:hasValue :in_patient_status ;
                                            owl:onProperty :has_status ] ] ;
                            rdf:rest [ rdf:first [ a owl:Restriction ;
                                            owl:hasValue :r2_ro.dr._working_department._is_equal_to._patient._hospitalized_department ;
                                            owl:onProperty :has_r2_r_relation ] ;
                                    rdf:rest :nil ] ] ] ] .

",abstract situation role in shift inpatient dr working dept eq patient hospitalized dept is same as something that intersection of something that  abstract situation role in shift and  something that at least has patient some something that must has status in patient status and  something that must has r2 r relation r2 ro.dr. working department. is equal to. patient. hospitalized department.,1,False
sitbac,http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl#AbstractSituation_RoleInShift_Outpatient_DRWorkingDept_EQ_PatientSupervisionClinic,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .

:abstract_situation_role_in_shift_outpatient_dr_working_dept_eq_patient_supervision_clinic owl:equivalentClass [ owl:intersectionOf [ rdf:first :abstract_situation_role_in_shift ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:onProperty :has_patient ;
                                    owl:someValuesFrom [ a owl:Restriction ;
                                            owl:hasValue :outpatient_status ;
                                            owl:onProperty :has_status ] ] ;
                            rdf:rest [ rdf:first [ a owl:Restriction ;
                                            owl:hasValue :r2_ro.dr._working_department._is_equal_to._patient._supervision_clinic ;
                                            owl:onProperty :has_r2_r_relation ] ;
                                    rdf:rest :nil ] ] ] ] .

",abstract situation role in shift outpatient dr working dept eq patient supervision clinic is same as something that intersection of something that  abstract situation role in shift and  something that at least has patient some something that must has status outpatient status and  something that must has r2 r relation r2 ro.dr. working department. is equal to. patient. supervision clinic.,1,False
sitbac,http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl#Action,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:action rdfs:subClassOf :refineable_concept ;
    owl:disjointWith :ehr_section,
        :is_in_shift,
        :legal_authorization_type,
        :organization,
        :patient_status,
        :role,
        :shift ;
    owl:equivalentClass [ owl:unionOf [ rdf:first :document ;
                    rdf:rest [ rdf:first :transfer ;
                            rdf:rest [ rdf:first :update ;
                                    rdf:rest [ rdf:first :view ;
                                            rdf:rest :nil ] ] ] ] ] .

","action is same as something that union of something that  document and  transfer and  update and  view.
action is a type of refineable concept.
action does not share any common instances with ehr section.
action does not share any common instances with is in shift.
action does not share any common instances with legal authorization type.
action does not share any common instances with organization.
action does not share any common instances with patient status.
action does not share any common instances with role.
action does not share any common instances with shift.",9,False
sitbac,http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl#Document,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:document rdfs:subClassOf :action ;
    owl:disjointWith :transfer,
        :update,
        :view .

","document is a type of action.
document does not share any common instances with transfer.
document does not share any common instances with update.
document does not share any common instances with view.",4,False
sitbac,http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl#Transfer,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:transfer rdfs:subClassOf :action ;
    owl:disjointWith :document,
        :update,
        :view .

","transfer is a type of action.
transfer does not share any common instances with document.
transfer does not share any common instances with update.
transfer does not share any common instances with view.",4,False
sitbac,http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl#Update,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:update rdfs:subClassOf :action ;
    owl:disjointWith :document,
        :transfer,
        :view .

","update is a type of action.
update does not share any common instances with document.
update does not share any common instances with transfer.
update does not share any common instances with view.",4,False
sitbac,http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl#View,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:view rdfs:subClassOf :action ;
    owl:disjointWith :document,
        :transfer,
        :update .

","view is a type of action.
view does not share any common instances with document.
view does not share any common instances with transfer.
view does not share any common instances with update.",4,False
sitbac,http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl#Action.Demographic_Section,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:action_demographic_section rdfs:subClassOf :task ;
    owl:disjointWith :action_identification_section,
        :action_medical_section ;
    owl:equivalentClass [ owl:unionOf [ rdf:first :document_demographic_section ;
                    rdf:rest [ rdf:first :view_demographic_section ;
                            rdf:rest :nil ] ] ] .

","action demographic section is same as something that union of something that  document demographic section and  view demographic section.
action demographic section is a type of task.
action demographic section does not share any common instances with action identification section.
action demographic section does not share any common instances with action medical section.",4,False
