fragment,text,statements,llm_used
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:behavior rdfs:subClassOf :psychological_parameter .

",behavior is a type of psychological parameter.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:census rdfs:subClassOf :human_activity .

",census is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:civil_disturbance rdfs:subClassOf :social_activity .

",civil disturbance is a type of social activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:colonization rdfs:subClassOf :human_activity .

",colonization is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:consumptive_use rdfs:subClassOf :human_activity .

",consumptive use is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:energy_end_use rdfs:subClassOf :human_activity .

",energy end use is a type of human activity.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:human_activity rdfs:subClassOf owl:Thing .

",human activity is a type of thing.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:human_capital rdfs:subClassOf :human_activity,
        :knowledge .

","human capital is a type of human activity.
human capital is a type of knowledge.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:human_need rdfs:subClassOf :human_activity .

",human need is a type of human activity.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:manned rdfs:subClassOf :human_activity ;
    owl:disjointWith :unmanned .

","manned is a type of human activity.
manned disjoint with unmanned.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:mapping rdfs:subClassOf :human_activity .

",mapping is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:profession rdfs:subClassOf :human_activity .

",profession is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:psychological_parameter rdfs:subClassOf :social_activity .

",psychological parameter is a type of social activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:recreation rdfs:subClassOf :social_activity .

",recreation is a type of social activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:service rdfs:subClassOf :human_activity .

",service is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:social_activity rdfs:subClassOf :human_activity .

",social activity is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:social_behavior rdfs:subClassOf :social_activity .

",social behavior is a type of social activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:space_cooling rdfs:subClassOf :energy_end_use .

",space cooling is a type of energy end use.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:space_heating rdfs:subClassOf :energy_end_use .

",space heating is a type of energy end use.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:unmanned rdfs:subClassOf :human_activity .

",unmanned is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:water_heating rdfs:subClassOf :energy_end_use .

",water heating is a type of energy end use.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:work rdfs:subClassOf :human_activity .

",work is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:animal_production rdfs:subClassOf :agriculture .

",animal production is a type of agriculture.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:apiculture rdfs:subClassOf :animal_production ;
    owl:equivalentClass :beekeeping .

","apiculture is same as beekeeping.
apiculture is a type of animal production.",2,False
