ontology,root,fragment,text,statements,llm_used
sweet,http://sweetontology.net/matrMineral/Dessauite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dessauite rdfs:subClassOf :mineral .

",dessauite is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Destinezite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:destinezite rdfs:subClassOf :mineral .

",destinezite is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Devilline,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:devilline rdfs:subClassOf :mineral .

",devilline is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Dewalquite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dewalquite rdfs:subClassOf :mineral .

",dewalquite is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Deweylite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:deweylite rdfs:subClassOf :mineral .

",deweylite is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Dewindtite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dewindtite rdfs:subClassOf :mineral .

",dewindtite is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Diaboleite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:diaboleite rdfs:subClassOf :mineral .

",diaboleite is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Diadochite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:diadochite rdfs:subClassOf :mineral .

",diadochite is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Dialogite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dialogite rdfs:subClassOf :mineral .

",dialogite is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Diamond,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:diamond rdfs:subClassOf :mineral .

",diamond is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Diaoyudaoite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:diaoyudaoite rdfs:subClassOf :mineral .

",diaoyudaoite is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Diaphorite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:diaphorite rdfs:subClassOf :mineral .

",diaphorite is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Diaspore,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:diaspore rdfs:subClassOf :mineral .

",diaspore is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Dichroite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dichroite rdfs:subClassOf :mineral .

",dichroite is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Dickinsonite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dickinsonite rdfs:subClassOf :mineral .

",dickinsonite is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Dickinsonite_KMnNa,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dickinsonite_k_mn_na_ rdfs:subClassOf :mineral .

",dickinsonite k mn na  is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Dickinsonite_KNa,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dickinsonite_k_na_ rdfs:subClassOf :mineral .

",dickinsonite k na  is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Dickinsonite_KNaNa,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dickinsonite_k_na_na_ rdfs:subClassOf :mineral .

",dickinsonite k na na  is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Dickinsonite_NaNa,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dickinsonite_na_na_ rdfs:subClassOf :mineral .

",dickinsonite na na  is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Dickite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dickite rdfs:subClassOf :mineral .

",dickite is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Dickthomssenite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dickthomssenite rdfs:subClassOf :mineral .

",dickthomssenite is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Dienerite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dienerite rdfs:subClassOf :mineral .

",dienerite is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Dietrichite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dietrichite rdfs:subClassOf :mineral .

",dietrichite is a type of mineral.,1,False
sweet,http://sweetontology.net/matrMineral/Dietzeite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dietzeite rdfs:subClassOf :mineral .

",dietzeite is a type of mineral.,1,False
