ontology,root,fragment,text,statements,llm_used
sweet,http://sweetontology.net/matrRock/Molasse,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:molasse rdfs:subClassOf :sedimentary .

",molasse is a type of sedimentary.,1,False
sweet,http://sweetontology.net/matrRock/Regolith,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:regolith rdfs:subClassOf :mixed_chemical_substance,
        :mixture ;
    owl:disjointWith :rock .

","Regolith is a type of mixed chemical substance and also a type of mixture. However, regolith is distinct and different from rock.",3,True
sweet,http://sweetontology.net/matrRock/Rock,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:rock rdfs:subClassOf :mixed_chemical_substance,
        :mixture,
        :solid_substance .

","Rock is a type of mixed chemical substance, mixture, and solid substance.",3,True
sweet,http://sweetontology.net/matrRock/RockBody,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:rock_body rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :rock ;
            owl:onProperty :has_substance ],
        :mixed_chemical_substance,
        :mixture,
        :solid_substance .

","A rock body is a type of mixed chemical substance, mixture, and solid substance. It is also a type of something that only has substance rock.",4,True
sweet,http://sweetontology.net/matrRock/SedimentaryRock,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:sedimentary_rock rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :sedimentary ;
            owl:onProperty :has_genesis ],
        :rock .

",Sedimentary rock is a type of rock that exclusively undergoes a genesis process termed sedimentary.,2,True
sweet,http://sweetontology.net/matrRock/Serpentinite,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:serpentinite rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :serpentinization ;
            owl:onProperty :has_genesis ],
        :metamorphic_rock .

",Serpentinite is a type of metamorphic rock that is characterized by a specific genesis known as serpentinization.,2,True
sweet,http://sweetontology.net/matrRock/Serpentinization,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:serpentinization rdfs:subClassOf :metamorphic .

",serpentinization is a type of metamorphic.,1,False
sweet,http://sweetontology.net/matrRockIgneous/Aa,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:aa rdfs:subClassOf :extrusive_rock,
        :lava .

",Aa is a type of extrusive rock and is also a type of lava.,2,True
sweet,http://sweetontology.net/matrRockIgneous/Andesite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:andesite rdfs:subClassOf :volcanic_rock .

",andesite is a type of volcanic rock.,1,False
sweet,http://sweetontology.net/matrRockIgneous/AnorogenicIgneousRock,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:anorogenic_igneous_rock rdfs:subClassOf :intrusive_rock .

",anorogenic igneous rock is a type of intrusive rock.,1,False
sweet,http://sweetontology.net/matrRockIgneous/Anorthosite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:anorthosite rdfs:subClassOf :igneous_rock .

",anorthosite is a type of igneous rock.,1,False
sweet,http://sweetontology.net/matrRockIgneous/Aphanite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:aphanite rdfs:subClassOf :igneous_rock .

",aphanite is a type of igneous rock.,1,False
sweet,http://sweetontology.net/matrRockIgneous/Basalt,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:basalt rdfs:subClassOf :extrusive_rock .

",basalt is a type of extrusive rock.,1,False
sweet,http://sweetontology.net/matrRockIgneous/CinderCone,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cinder_cone rdfs:subClassOf :volcanic_cone .

",cinder cone is a type of volcanic cone.,1,False
sweet,http://sweetontology.net/matrRockIgneous/CompositeCone,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:composite_cone rdfs:subClassOf :volcanic_cone .

",composite cone is a type of volcanic cone.,1,False
sweet,http://sweetontology.net/matrRockIgneous/Dacite,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dacite rdfs:subClassOf :volcanic_rock .

",dacite is a type of volcanic rock.,1,False
sweet,http://sweetontology.net/matrRockIgneous/ExtrusiveRock,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:extrusive_rock rdfs:subClassOf :igneous_rock .

",extrusive rock is a type of igneous rock.,1,False
sweet,http://sweetontology.net/matrRockIgneous/Felsic,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:felsic rdfs:subClassOf :igneous_rock ;
    owl:disjointWith :mafic .

",Felsic is a type of igneous rock and it is disjoint with mafic.,2,True
sweet,http://sweetontology.net/matrRockIgneous/Hypabyssal,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:hypabyssal rdfs:subClassOf :igneous_rock .

",hypabyssal is a type of igneous rock.,1,False
sweet,http://sweetontology.net/matrRockIgneous/IgneousRock,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:igneous_rock rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :igneous ;
            owl:onProperty :has_genesis ],
        :rock .

",Igneous rock is a type of rock that is exclusively categorized under the genesis igneous.,2,True
